context,music_mean,music_sd,music_cv,context_mean,context_sd,context_cv,cv_difference,levene_stat,levene_p,sig,n_music,n_context
bar ,0.97172517,0.007237332407385111,0.007447921,0.9649094,0.008415241725742817,0.008721277,-0.0012733559,0.5740089367249388,0.4497444060190211,n.s.,48,120
concert ,0.9720505,0.0065768142230808735,0.0067659183,0.96832585,0.007672169245779514,0.007923127,-0.0011572088,0.6874389082787317,0.4082274923209924,n.s.,48,120
movie,0.97361994,0.005315800197422504,0.005459831,0.96514475,0.008482241071760654,0.008788569,-0.0033287378,10.69560856075265,0.0013059112498480538,**,48,120
video game,0.9696066,0.007493140175938606,0.007728021,0.9621244,0.011082591488957405,0.011518876,-0.003790855,5.112129011762077,0.02505779227909066,*,48,120
