ClipContext_pair,BAR-80s_LOW_02,BAR-80s_LOW_06,BAR-80s_MED_08,BAR-80s_MED_13,BAR-Ele_LOW_09,BAR-Ele_LOW_14,BAR-Ele_MED_19,BAR-Ele_MED_20,BAR-Jaz_LOW_19,BAR-Jaz_LOW_21,BAR-Jaz_MED_02,BAR-Jaz_MED_07,BAR-Met_LOW_09,BAR-Met_LOW_14,BAR-Met_MED_19,BAR-Met_MED_20,CONCERT-80s_LOW_02,CONCERT-80s_LOW_06,CONCERT-80s_MED_08,CONCERT-80s_MED_13,CONCERT-Ele_LOW_09,CONCERT-Ele_LOW_14,CONCERT-Ele_MED_19,CONCERT-Ele_MED_20,CONCERT-Jaz_LOW_19,CONCERT-Jaz_LOW_21,CONCERT-Jaz_MED_02,CONCERT-Jaz_MED_07,CONCERT-Met_LOW_09,CONCERT-Met_LOW_14,CONCERT-Met_MED_19,CONCERT-Met_MED_20,MOVIE-80s_LOW_02,MOVIE-80s_LOW_06,MOVIE-80s_MED_08,MOVIE-80s_MED_13,MOVIE-Ele_LOW_09,MOVIE-Ele_LOW_14,MOVIE-Ele_MED_19,MOVIE-Ele_MED_20,MOVIE-Jaz_LOW_19,MOVIE-Jaz_LOW_21,MOVIE-Jaz_MED_02,MOVIE-Jaz_MED_07,MOVIE-Met_LOW_09,MOVIE-Met_LOW_14,MOVIE-Met_MED_19,MOVIE-Met_MED_20,VIDEOGAME-80s_LOW_02,VIDEOGAME-80s_LOW_06,VIDEOGAME-80s_MED_08,VIDEOGAME-80s_MED_13,VIDEOGAME-Ele_LOW_09,VIDEOGAME-Ele_LOW_14,VIDEOGAME-Ele_MED_19,VIDEOGAME-Ele_MED_20,VIDEOGAME-Jaz_LOW_19,VIDEOGAME-Jaz_LOW_21,VIDEOGAME-Jaz_MED_02,VIDEOGAME-Jaz_MED_07,VIDEOGAME-Met_LOW_09,VIDEOGAME-Met_LOW_14,VIDEOGAME-Met_MED_19,VIDEOGAME-Met_MED_20
VIDEOGAME-Ele_LOW_14,0.92382103,0.913324,0.9276201,0.95163965,0.95200765,0.96032286,0.9294797,0.91943294,0.93861496,0.940284,0.92824423,0.927335,0.9410647,0.9369792,0.9459096,0.95139533,0.9340169,0.91878426,0.9422706,0.9339069,0.9583408,0.96532345,0.9192237,0.94390607,0.9472035,0.9406743,0.92830145,0.9179019,0.94084597,0.93853056,0.945976,0.94023466,0.9250822,0.9357178,0.93155676,0.9381267,0.9622923,0.97590256,0.9304545,0.93505484,0.95188665,0.9490745,0.91420114,0.9169301,0.95808184,0.9606757,0.95525694,0.95479023,0.9298762,0.96273935,0.94746506,0.9567828,0.9667572,1.0000001,0.93829405,0.9537945,0.9702312,0.9528928,0.9297104,0.9357867,0.96035945,0.97420466,0.98307323,0.96836054
VIDEOGAME-Ele_MED_19,0.9618069,0.9473003,0.952883,0.96015745,0.9572382,0.95550376,0.97712225,0.9650941,0.96932673,0.9581957,0.9633836,0.9571103,0.95965606,0.9599922,0.9589187,0.95573443,0.96804905,0.9591022,0.9643703,0.97051966,0.97000617,0.9529804,0.9653069,0.9630554,0.95828116,0.9578774,0.9563904,0.95527613,0.9541682,0.9550934,0.95088077,0.96259433,0.9740326,0.96615386,0.9617603,0.97459066,0.9616573,0.9581342,0.97720754,0.9726975,0.96836305,0.94401217,0.95896715,0.96241796,0.9620557,0.96352303,0.9600566,0.967419,0.97321236,0.9673316,0.9636649,0.9640986,0.96569693,0.93829405,0.99999976,0.96672606,0.9562937,0.95408607,0.96904176,0.9560802,0.9604641,0.9534018,0.94489324,0.94896895
VIDEOGAME-Ele_MED_20,0.97142756,0.9518236,0.9582559,0.97724247,0.96393037,0.96614504,0.9746418,0.96875787,0.96122813,0.96744853,0.9688235,0.9694277,0.95933926,0.95226014,0.96257305,0.96541196,0.9713932,0.9534357,0.9735106,0.9700149,0.97188425,0.95927256,0.96540594,0.97702926,0.9686688,0.9654914,0.96387935,0.96206653,0.9665389,0.9557965,0.95834196,0.9619142,0.96385086,0.961926,0.96713716,0.9767399,0.96522474,0.96645164,0.97004247,0.9756266,0.96548486,0.9709966,0.96391773,0.96507174,0.9662748,0.96383095,0.9673399,0.96874064,0.9669459,0.9739351,0.96426857,0.96708643,0.97255254,0.9537945,0.96672606,1.0,0.96550626,0.9722332,0.9684385,0.9718588,0.96005464,0.9549755,0.9558172,0.9628666
VIDEOGAME-Jaz_LOW_19,0.9481754,0.94561887,0.9557022,0.9743499,0.96454495,0.9664178,0.9560179,0.944414,0.9628197,0.9635702,0.95264804,0.95084256,0.9507379,0.95159674,0.9586029,0.962242,0.9596263,0.94319135,0.9650497,0.960346,0.96713424,0.971676,0.94812214,0.9591501,0.9625776,0.96095616,0.9507344,0.94525677,0.95503354,0.95478094,0.9520319,0.9592426,0.94739586,0.9567859,0.95845336,0.9620956,0.9661138,0.9728967,0.955732,0.954968,0.9684686,0.9651569,0.9413747,0.9466566,0.9585453,0.965435,0.9630017,0.9660573,0.9541135,0.9769415,0.9610704,0.9726962,0.9712708,0.9702312,0.9562937,0.96550626,0.9999998,0.9709124,0.9523268,0.9608456,0.9605731,0.9714557,0.9694724,0.9718326
VIDEOGAME-Jaz_LOW_21,0.9661835,0.95278454,0.9668523,0.9757005,0.96292293,0.96906424,0.9650581,0.954972,0.9639431,0.97655535,0.9596658,0.96359766,0.9566065,0.94982123,0.9608493,0.9636196,0.9649364,0.95967203,0.9696469,0.96512884,0.9673226,0.9675571,0.9533771,0.9667524,0.9728961,0.97360075,0.9654801,0.9603156,0.963667,0.9533296,0.9579842,0.964025,0.9571894,0.9643314,0.97126865,0.9723257,0.9642949,0.9667556,0.96164864,0.9625804,0.9682292,0.97923136,0.9562728,0.9590992,0.9648701,0.9593835,0.96378684,0.9690273,0.9591376,0.97543615,0.97433805,0.96687984,0.9709334,0.9528928,0.95408607,0.9722332,0.9709124,1.0,0.9666678,0.97099745,0.9511443,0.952801,0.9573692,0.9677986
VIDEOGAME-Jaz_MED_02,0.9764793,0.9630089,0.9709631,0.9670061,0.96079636,0.960639,0.97494346,0.97224784,0.97374845,0.97800434,0.97451025,0.9789762,0.961583,0.9582025,0.9699782,0.9607922,0.97932774,0.97003555,0.97658443,0.97286546,0.96730703,0.9572759,0.96756667,0.9647532,0.9772712,0.9753858,0.9718044,0.9728043,0.96232283,0.9587652,0.95666385,0.9695885,0.97269726,0.97249186,0.9751117,0.97420526,0.96193767,0.9568567,0.9710492,0.96826255,0.9763459,0.96255624,0.9801271,0.9749241,0.9626656,0.9631985,0.96001196,0.96639824,0.9755286,0.9727094,0.9684954,0.9599586,0.9608715,0.9297104,0.96904176,0.9684385,0.9523268,0.9666678,1.0,0.97451186,0.95632315,0.94240856,0.9323643,0.9484714
VIDEOGAME-Jaz_MED_07,0.97551674,0.9624074,0.9658613,0.96916616,0.9524536,0.96310246,0.9711795,0.96684426,0.95931756,0.9761618,0.9749654,0.9819819,0.9526574,0.94431996,0.9625114,0.95089114,0.9712118,0.95838314,0.9695447,0.9693547,0.96102685,0.9511516,0.96660644,0.96141016,0.97103006,0.9662868,0.9702971,0.9729862,0.958117,0.94796634,0.94620633,0.96007955,0.96779656,0.96312726,0.97353005,0.97162354,0.9566346,0.952271,0.9656781,0.96158135,0.96752596,0.9682398,0.97784376,0.97404814,0.95534873,0.9566537,0.95294404,0.9632362,0.9696999,0.9687402,0.9646216,0.9614463,0.95900685,0.9357867,0.9560802,0.9718588,0.9608456,0.97099745,0.97451186,0.9999993,0.94996727,0.942116,0.9365654,0.95175534
VIDEOGAME-Met_LOW_09,0.94675845,0.94310653,0.9566468,0.959002,0.97149396,0.97040236,0.9570607,0.94376963,0.95864224,0.9591577,0.9554019,0.9508997,0.9665034,0.97197974,0.9701715,0.970782,0.9642519,0.9459553,0.96524704,0.9606732,0.9738467,0.97001857,0.9506972,0.9588632,0.9668108,0.9583533,0.9482533,0.9406377,0.97185516,0.9697404,0.9743669,0.97127306,0.9501809,0.9609214,0.948521,0.9563199,0.9688303,0.9704964,0.95992076,0.9559388,0.9699143,0.94783896,0.9445945,0.9432981,0.9724915,0.9776263,0.97526383,0.9710579,0.9539932,0.9702625,0.9564059,0.96157587,0.972554,0.96035945,0.9604641,0.96005464,0.9605731,0.9511443,0.95632315,0.94996727,1.0000001,0.9726132,0.9615572,0.9627644
VIDEOGAME-Met_LOW_14,0.9330015,0.92480546,0.94008434,0.9558643,0.9625102,0.9595231,0.94191086,0.9292963,0.95310277,0.94720495,0.9366811,0.9369878,0.95011914,0.9593661,0.95619076,0.96084476,0.94713384,0.93128407,0.9510906,0.9446415,0.9625716,0.9648938,0.9310293,0.95276594,0.95448387,0.9490086,0.93121386,0.9292635,0.95042676,0.9524599,0.9561776,0.95062053,0.94159317,0.9525152,0.94314975,0.9518242,0.96902853,0.9748591,0.9450444,0.950287,0.96202016,0.9497323,0.928478,0.93394387,0.9627461,0.9725113,0.96693337,0.9613957,0.94588053,0.9704934,0.9534241,0.96828485,0.9719785,0.97420466,0.9534018,0.9549755,0.9714557,0.952801,0.94240856,0.942116,0.9726132,1.0000002,0.9739065,0.9635905
VIDEOGAME-Met_MED_19,0.92971337,0.91374767,0.930537,0.9526653,0.9551223,0.95811236,0.9373738,0.93004894,0.93974614,0.93859196,0.9326103,0.92758226,0.9485646,0.9391078,0.9502201,0.9574014,0.93665504,0.9279697,0.9452238,0.94058526,0.9613347,0.96430707,0.9307598,0.94769156,0.94834125,0.94126815,0.93867564,0.92049086,0.9482515,0.9479014,0.95556784,0.94978875,0.9276959,0.9350044,0.93434596,0.94418633,0.9599107,0.97110605,0.9408196,0.94313836,0.9471574,0.9474808,0.91581386,0.922699,0.96296513,0.95777845,0.9620721,0.96183205,0.93235606,0.96205366,0.95162463,0.95945454,0.9705922,0.98307323,0.94489324,0.9558172,0.9694724,0.9573692,0.9323643,0.9365654,0.9615572,0.9739065,0.9999999,0.97520745
VIDEOGAME-Met_MED_20,0.94920737,0.939453,0.9483144,0.9662054,0.9657842,0.96621895,0.9499455,0.9459603,0.9527705,0.95680046,0.9524977,0.9450817,0.95705384,0.9477773,0.9674671,0.96471494,0.9488894,0.94724375,0.9571588,0.95688164,0.96653867,0.96592164,0.9466669,0.9655379,0.9649397,0.95840204,0.9518945,0.9365759,0.96387386,0.9637625,0.96294254,0.9645092,0.94480455,0.9495462,0.95384336,0.95900464,0.96331596,0.97136366,0.95356506,0.9532432,0.9560411,0.96335137,0.938367,0.9424151,0.96761966,0.9693307,0.9652233,0.97081405,0.9495161,0.9695343,0.9618875,0.9656034,0.9722096,0.96836054,0.94896895,0.9628666,0.9718326,0.9677986,0.9484714,0.95175534,0.9627644,0.9635905,0.97520745,0.9999998
