"clip_name","clip_short","context_word","genre","arousal","N","Mean","SD","SE"
"Metal_LOW_09_Darkside.mp3","Darkside","videogame","Metal","LOW",22,3.364,1.465,0.312
"Metal_LOW_14_Viaje_Por_Existir.mp3","Viaje Por Existir","bar","Metal","LOW",16,3.125,1.455,0.364
"Metal_LOW_14_Viaje_Por_Existir.mp3","Viaje Por Existir","concert","Metal","LOW",21,2.762,1.375,0.3
"Metal_LOW_14_Viaje_Por_Existir.mp3","Viaje Por Existir","movie","Metal","LOW",17,3.353,1.579,0.383
"Metal_LOW_14_Viaje_Por_Existir.mp3","Viaje Por Existir","videogame","Metal","LOW",26,3.5,1.273,0.25
"Metal_MED_19_Thunderhorse.mp3","Thunderhorse","bar","Metal","MED",17,3.353,1.412,0.342
"Metal_MED_19_Thunderhorse.mp3","Thunderhorse","concert","Metal","MED",21,3.143,1.352,0.295
"Metal_MED_19_Thunderhorse.mp3","Thunderhorse","movie","Metal","MED",20,3.55,1.432,0.32
"Metal_MED_19_Thunderhorse.mp3","Thunderhorse","videogame","Metal","MED",22,3.091,1.411,0.301
"Metal_MED_20_Welcome_to_the_Family.mp3","Welcome to the Family","bar","Metal","MED",17,2.824,0.883,0.214
"Metal_MED_20_Welcome_to_the_Family.mp3","Welcome to the Family","concert","Metal","MED",23,4,1.348,0.281
"Metal_MED_20_Welcome_to_the_Family.mp3","Welcome to the Family","movie","Metal","MED",21,3.381,1.431,0.312
"Metal_MED_20_Welcome_to_the_Family.mp3","Welcome to the Family","videogame","Metal","MED",19,3.579,1.465,0.336
