genre,music_mean,music_sd,music_cv,context_mean,context_sd,context_cv,cv_difference,levene_stat,levene_p,sig,n_music,n_context
80s,0.95103043,0.013778308406472206,0.0144877685,0.94468194,0.010080963373184204,0.0106712775,0.003816491,0.022533225099626873,0.8813335466530697,n.s.,24,24
Ele,0.95615846,0.0104280486702919,0.010906193,0.92972726,0.01826663129031658,0.0196473,-0.008741107,10.337797561335574,0.002385733844825358,**,24,24
Jaz,0.96441823,0.009772933088243008,0.010133501,0.9466596,0.01719769835472107,0.018166717,-0.008033216,3.6091012759303265,0.06374391878219887,n.s.,24,24
Met,0.94792956,0.018085908144712448,0.01907938,0.9570799,0.010856321081519127,0.011343171,0.007736209,2.02522823305095,0.16145278859761894,n.s.,24,24
