context1,context2,mean1,mean2,difference,t,p,d,sig
bar ,video game,0.93943393,0.92912596,0.010307968,4.096189422683451,5.7602173297088595e-05,0.5288157606913155,***
bar ,movie,0.93943393,0.9289911,0.010442853,3.7676773770726197,0.00020778153063412408,0.48640508164089535,***
concert ,video game,0.935582,0.92912596,0.0064560175,2.498101987351382,0.0131620238007851,0.322503557431257,*
concert ,movie,0.935582,0.9289911,0.006590903,2.326081973341327,0.020855052621807684,0.3002958971186189,*
bar ,concert ,0.93943393,0.935582,0.0038519502,1.6368243589804083,0.10298874495969522,0.21131310292077646,n.s.
movie,video game,0.9289911,0.92912596,-0.00013488531,-0.04541000065768548,0.963818587635874,-0.005862406047983963,n.s.
