TSNE1,TSNE2,term
9.579973,-13.673048,envision
3.049519,-6.181802,even
-16.282362,-1.786224,futuristic
5.4718943,19.44554,flash
5.078851,-23.717201,roll
-2.8626099,5.2835126,away
-22.49759,4.839733,detective
-1.7426962,1.1645423,another
-6.3414,21.300676,smoke
1.9956926,-2.6595788,many
-3.5848284,2.5158138,past
9.152348,-15.334411,find
-14.574681,-16.269205,mood
-14.709216,-17.440298,atmosphere
-7.2099333,0.1422152,next
2.7313316,-0.57195944,large
-3.5312817,8.657554,front
-9.791346,12.178571,home
-10.815134,0.9454073,series
16.139532,-15.949011,sing
-11.792556,15.211196,shop
14.120287,-4.6923566,attack
-5.099663,10.547335,outside
1.1351109,-21.638113,setting
4.654509,-1.2668941,intense
9.692072,-19.991,stand
-1.9390479,13.039309,elevator
8.984858,-5.6198144,immediately
-0.5612784,-2.885832,super
9.290101,-2.1811392,specific
7.661964,-25.012407,jump
-10.260619,-8.381808,speed
-9.923152,14.546775,house
9.605484,-23.92107,fly
-20.782236,-0.3489646,noir
-1.3114816,7.9863453,hand
3.7391865,-13.749828,need
7.8174033,11.764393,audience
5.9132075,-3.6189578,saw
-1.3709807,22.983984,chill
-11.437115,18.822649,menu
-6.4344206,-4.8761373,busy
-8.678477,3.3747525,lead
5.2465,6.546389,experience
15.775576,9.182246,drum
8.261509,23.269789,red
13.049036,16.239756,sonic
-4.345784,-9.186643,bad
-13.632836,8.990452,age
-8.286927,22.693195,drinking
14.594868,1.9566965,star
1.7059888,3.0281863,others
-8.757554,-6.127577,slowly
3.5385647,-5.843871,perhaps
11.676788,-10.316523,evoke
17.786757,10.179397,solo
-25.753477,1.0777249,sitcom
-0.65426666,11.409604,seat
8.523388,-20.50826,put
4.0142403,-23.926077,kick
14.246974,-18.478554,attend
-3.5339875,12.145519,glass
4.2179427,-6.854724,either
2.6475928,14.6381645,racing
2.7832456,-4.7402244,though
6.434212,-19.624605,face
28.487745,-10.655418,nintendo
-11.395005,17.48297,cafe
-22.028578,3.8482287,protagonist
-10.553914,22.08509,wine
-14.354169,4.881812,phone
-19.433937,20.583008,peaceful
20.182812,10.505609,musician
4.694745,-7.579953,might
11.29409,-20.564964,enter
3.5021067,8.263999,science
-16.62573,-4.1015296,nostalgic
-21.957417,1.1498739,fiction
12.200073,-18.761154,meet
12.334601,5.4208283,energetic
-15.807164,-9.19815,hype
0.91203713,7.4957957,partner
-15.940949,-3.2574306,classic
5.38776,23.292643,bright
10.40733,-21.43612,fill
-2.3113904,-4.107945,way
-9.980429,21.924826,coffee
-5.7024717,16.154654,fire
6.845224,-17.415026,lose
9.594929,-24.92845,shoot
8.679493,5.0232024,eye
2.0058415,20.741116,sunset
2.29794,21.625439,sun
-10.225421,-22.85406,relaxed
-7.5722384,-12.901635,beautiful
-7.8083296,14.040417,town
-17.38922,10.8878355,girl
11.306372,-22.534061,hang
29.658712,-12.103474,dj
-11.467322,-8.469685,pace
5.862062,-22.337332,drop
-9.207673,-3.4808586,context
1.7991041,-7.8468685,reason
4.5673413,-6.322224,possibly
-12.398671,-2.6299293,era
8.751283,1.3536284,instrumental
9.198333,-11.331412,view
-15.053194,9.923707,men
0.83464265,-3.8239336,still
27.948425,-9.566306,christmas
20.771704,10.849305,singer
15.995116,16.450726,mosh
-10.491731,2.7371724,title
-4.0200863,19.332851,water
-0.3254099,5.9848194,base
2.3299751,6.2435737,mission
27.251568,-11.224126,id
-21.464245,-5.26127,montage
-10.406311,15.982742,hotel
-4.227241,14.301509,building
-8.941688,-2.6412928,effect
-7.9845195,5.5211606,summer
2.0838501,-8.698101,never
5.4057426,23.705162,dim
16.229145,13.69699,pop
-8.905867,24.33895,eat
17.641361,10.640517,classical
10.825593,-19.73339,hold
1.850778,-12.386555,sure
-9.873008,6.8798733,trip
13.819744,-17.228737,entertain
10.403084,-15.942165,call
-1.9337617,-7.6206923,real
5.676608,24.852798,dimly
7.59279,-21.28822,turn
6.3272333,-6.3214664,likely
-25.087418,-1.3484801,animated
-4.4397917,10.161758,inside
1.013276,15.761504,pit
-4.883806,1.6169403,since
-7.890301,2.2176526,final
25.39579,-14.233582,la
25.708227,-11.207019,etc
14.829823,-11.928344,cry
-14.491226,-15.904717,tone
-16.837334,11.641761,lady
-9.583224,-22.87723,relaxing
-2.6073048,-18.64705,hat
-15.846183,16.888186,cozy
-10.491821,-6.0183325,smooth
0.7171195,-10.434944,nothing
0.26791793,5.94609,company
3.442229,-10.828403,somewhere
14.402116,14.101307,disco
19.591883,10.77099,artist
7.125003,-0.21704121,important
27.30932,-12.100913,pac
15.965014,14.430357,rave
5.5322323,1.2871726,favorite
-15.174107,-2.336895,modern
4.653859,21.213852,sky
-24.254803,8.97576,romance
11.777149,-11.89974,relate
-4.394177,5.524066,top
3.7072556,4.7582355,nature
-18.34054,13.65432,wedding
1.6508783,-10.815104,else
-1.4267228,-11.866182,everything
4.71294,-25.565598,bang
16.641842,-6.348026,fighting
12.6176815,-4.9052567,enemy
-9.0542755,5.6663327,holiday
-24.41504,2.7792184,actor
25.841879,-10.787474,theres
8.890301,14.533348,noise
-19.973827,-6.399573,motion
7.799715,-9.330142,appear
-19.870605,11.447383,girlfriend
-14.863197,-12.601358,emotion
4.0486813,-4.5872607,somewhat
25.92091,-12.095013,u
-1.2457054,-10.747298,always
-4.091963,8.754758,corner
20.416334,2.1499138,dragon
4.366658,-18.297869,involve
14.395582,15.407599,techno
4.705307,1.0784038,popular
7.0841074,19.454184,strobe
-20.699913,-0.78504866,cyberpunk
-24.13755,1.010705,film
9.615235,-5.015694,instantly
-16.16288,-11.623614,suspense
14.694995,-2.5194018,match
12.096887,4.9184356,lively
-5.7503934,2.6415992,last
3.7479272,-22.996119,break
1.6644228,-16.032404,change
8.305702,3.4009135,focus
-21.795902,-1.3132107,genre
-8.827462,6.960187,weekend
27.682613,-12.751936,american
3.0355706,-18.213682,complete
6.5505104,-23.288212,pick
26.473564,-12.960191,tom
-21.140793,-5.5601034,sequence
-3.3844147,0.59557426,towards
-13.625737,-0.7719763,classy
17.874945,11.16968,musical
-6.019236,10.930823,near
-12.218917,-8.414763,paced
7.406288,-11.979315,expect
19.26385,13.4503565,concert
-8.574272,14.017306,church
6.2082543,-25.23643,hit
-18.742851,0.95280004,fantasy
-19.419607,10.123925,dad
-1.1604111,20.663494,rainy
8.692249,-6.8163347,prompt
19.929337,9.123868,pianist
1.7860736,-5.37051,usually
-4.7728124,-16.132442,smile
6.445886,20.435345,lighting
24.732204,-10.447241,everyones
-9.861897,23.677504,sip
-6.081748,3.6257162,year
15.102697,-11.763873,scream
-18.604511,11.214502,sister
4.110895,11.281783,electric
-3.8781688,6.4033165,behind
7.483291,3.473752,attention
0.63860554,11.294922,arena
3.8722603,-3.6144292,note
-12.402331,-10.523103,rhythm
8.083201,21.522354,neon
-5.3650093,17.205658,forest
6.322864,-24.645233,catch
-0.8300886,-0.536483,deep
-24.828865,10.102218,intimate
-7.7841644,9.94051,venue
-22.84416,6.760555,mysterious
-6.5930085,21.478058,smoking
-10.572545,8.430243,celebration
11.599723,4.073645,friendly
3.095215,3.355387,self
-18.28724,12.627765,bride
15.92286,16.288097,headbanging
14.788023,15.325174,punk
0.53674144,-8.913273,exactly
4.805103,-1.5263553,serious
4.29759,5.408566,environment
-11.788228,15.1064005,store
5.673854,-6.5370226,may
-5.178374,-7.669439,huge
12.065682,-20.053976,reach
-2.1008453,22.511932,cold
-15.563559,-12.000375,tension
14.139271,1.1730027,fan
10.451129,-17.470247,follow
0.4366063,8.031598,boss
-8.094087,3.077962,round
4.25592,-17.12135,continue
5.640185,3.7872183,heart
24.385546,-12.141011,shes
-3.4587698,10.3603115,wall
-20.789026,11.005688,lover
-15.754127,16.785612,posh
-6.384262,-16.117514,kiss
-1.392503,-13.865578,bunch
16.40898,11.334594,jazzy
12.522342,16.339058,ambient
-2.952823,23.59224,hot
26.186674,-10.811943,youd
-9.852718,21.541681,food
5.2054706,8.979993,entertainment
11.494094,-25.168299,float
-7.875478,-19.695402,enjoyable
28.019634,-13.572356,michael
-14.8812475,4.191499,computer
0.6735345,-0.36609647,low
14.078225,7.7798758,vocal
3.0839558,14.086741,sport
-15.460498,3.5121388,console
