genre,music_mean,music_sd,context_mean,context_sd,difference,effect_size,t,p,sig,n_music,n_context
80s,0.95103043,0.013778308406472206,0.94468194,0.010080963373184204,0.0063484907,0.5258844634335367,1.8217171599271795,0.07500391754998087,n.s.,24,24
Ele,0.95615846,0.0104280486702919,0.92972726,0.01826663129031658,0.026431203,1.7771229961307222,6.1561344978519426,1.6885981811404178e-07,***,24,24
Jaz,0.96441823,0.009772933088243008,0.9466596,0.01719769835472107,0.017758608,1.269653041898311,4.39820710179627,6.408797668855517e-05,***,24,24
Met,0.94792956,0.018085908144712448,0.9570799,0.010856321081519127,-0.009150326,-0.61346698890682,-2.1251120355859117,0.0389801947624841,*,24,24
