ClipContext_pair,BAR-80s_LOW_02,BAR-80s_LOW_06,BAR-80s_MED_08,BAR-80s_MED_13,BAR-Ele_LOW_09,BAR-Ele_LOW_14,BAR-Ele_MED_19,BAR-Ele_MED_20,BAR-Jaz_LOW_19,BAR-Jaz_LOW_21,BAR-Jaz_MED_02,BAR-Jaz_MED_07,BAR-Met_LOW_09,BAR-Met_LOW_14,BAR-Met_MED_19,BAR-Met_MED_20,CONCERT-80s_LOW_02,CONCERT-80s_LOW_06,CONCERT-80s_MED_08,CONCERT-80s_MED_13,CONCERT-Ele_LOW_09,CONCERT-Ele_LOW_14,CONCERT-Ele_MED_19,CONCERT-Ele_MED_20,CONCERT-Jaz_LOW_19,CONCERT-Jaz_LOW_21,CONCERT-Jaz_MED_02,CONCERT-Jaz_MED_07,CONCERT-Met_LOW_09,CONCERT-Met_LOW_14,CONCERT-Met_MED_19,CONCERT-Met_MED_20,MOVIE-80s_LOW_02,MOVIE-80s_LOW_06,MOVIE-80s_MED_08,MOVIE-80s_MED_13,MOVIE-Ele_LOW_09,MOVIE-Ele_LOW_14,MOVIE-Ele_MED_19,MOVIE-Ele_MED_20,MOVIE-Jaz_LOW_19,MOVIE-Jaz_LOW_21,MOVIE-Jaz_MED_02,MOVIE-Jaz_MED_07,MOVIE-Met_LOW_09,MOVIE-Met_LOW_14,MOVIE-Met_MED_19,MOVIE-Met_MED_20,VIDEOGAME-80s_LOW_02,VIDEOGAME-80s_LOW_06,VIDEOGAME-80s_MED_08,VIDEOGAME-80s_MED_13,VIDEOGAME-Ele_LOW_09,VIDEOGAME-Ele_LOW_14,VIDEOGAME-Ele_MED_19,VIDEOGAME-Ele_MED_20,VIDEOGAME-Jaz_LOW_19,VIDEOGAME-Jaz_LOW_21,VIDEOGAME-Jaz_MED_02,VIDEOGAME-Jaz_MED_07,VIDEOGAME-Met_LOW_09,VIDEOGAME-Met_LOW_14,VIDEOGAME-Met_MED_19,VIDEOGAME-Met_MED_20
VIDEOGAME-Ele_LOW_14,0.8698908,0.84014297,0.87053,0.8983114,0.91974324,0.9368088,0.88699603,0.868097,0.9283861,0.8786632,0.8651749,0.86633456,0.89751005,0.9301734,0.9146695,0.9282268,0.87384987,0.8492926,0.88544357,0.89145434,0.9039226,0.9380394,0.8603569,0.8677889,0.9255824,0.88273287,0.861992,0.8685217,0.8931874,0.9155178,0.9269477,0.90293604,0.876205,0.87067574,0.89215326,0.8736399,0.9251883,0.96556723,0.8853109,0.8688227,0.9316589,0.9041071,0.8806564,0.8280003,0.918494,0.9228767,0.9178635,0.9071431,0.88141596,0.90918744,0.9127078,0.919243,0.9363018,1.0000001,0.8952724,0.8961181,0.9439275,0.9020644,0.88610905,0.8642478,0.92370117,0.9408105,0.94613284,0.93981624
VIDEOGAME-Ele_MED_19,0.94428074,0.8826467,0.9219749,0.921437,0.92371356,0.92328966,0.95858675,0.9402136,0.9367582,0.90802175,0.92832553,0.91831815,0.94405437,0.944746,0.9402405,0.94365585,0.9313502,0.9074266,0.92424315,0.942062,0.93342346,0.89376485,0.9449857,0.93415517,0.94515204,0.92412233,0.9178262,0.9081936,0.92294884,0.93563473,0.9440969,0.94224256,0.95462096,0.9262971,0.9396141,0.93615,0.93952096,0.9193882,0.96917844,0.9478276,0.94613916,0.91380084,0.9288368,0.8898152,0.9251144,0.9255566,0.94920933,0.94766855,0.9526441,0.9452874,0.9403824,0.94603616,0.9397941,0.8952724,0.9999999,0.92475003,0.9027391,0.90306383,0.9315277,0.91988033,0.93769825,0.92315245,0.92285144,0.9210137
VIDEOGAME-Ele_MED_20,0.9334202,0.8697081,0.88363355,0.91516536,0.89775634,0.9070326,0.94284904,0.9383065,0.9078258,0.8922902,0.9259088,0.919115,0.8987938,0.9043934,0.90036964,0.91466576,0.92422026,0.85934687,0.907975,0.92629373,0.90128124,0.89762866,0.91552305,0.9456564,0.90767527,0.8947462,0.89718866,0.9072038,0.880015,0.9015503,0.8993347,0.89622796,0.91985345,0.8821732,0.91156006,0.92707276,0.8959226,0.9115704,0.9180671,0.9454341,0.91794574,0.90419865,0.91148376,0.8952825,0.8721742,0.87406576,0.8948395,0.90094036,0.9279332,0.9277098,0.90920776,0.94245625,0.90704006,0.8961181,0.92475003,0.99999994,0.89685136,0.9025311,0.90565985,0.911229,0.8741322,0.8850916,0.8929918,0.8963473
VIDEOGAME-Jaz_LOW_19,0.8835689,0.8751986,0.9032124,0.92616177,0.92460597,0.94179165,0.8920679,0.8739418,0.9543897,0.9142194,0.89054626,0.8881364,0.8968891,0.9203259,0.91150117,0.92904377,0.8852716,0.90173596,0.9180242,0.89446366,0.90781474,0.9265991,0.876825,0.8660076,0.9363378,0.918872,0.9004479,0.89981055,0.8895898,0.9158594,0.92407906,0.9076353,0.8935938,0.90935886,0.9162028,0.90032923,0.90943563,0.9464637,0.8956498,0.8810731,0.9535538,0.92649883,0.9055111,0.8666478,0.9137098,0.9036821,0.90980136,0.9071314,0.89237577,0.9325723,0.94048643,0.9340333,0.9173401,0.9439275,0.9027391,0.89685136,0.9999996,0.9260497,0.9139766,0.8997871,0.90637726,0.9279263,0.9195428,0.9308788
VIDEOGAME-Jaz_LOW_21,0.9161811,0.89633,0.9350294,0.92610765,0.91092515,0.9326832,0.91866285,0.8984665,0.93881327,0.93900186,0.9214463,0.9169351,0.8930136,0.91419405,0.9131471,0.9328019,0.90433794,0.9004061,0.9408983,0.91012824,0.8988443,0.90167654,0.8828715,0.891939,0.9335401,0.947824,0.91453624,0.9121295,0.88883203,0.9095391,0.91526306,0.9206658,0.90558255,0.9179707,0.9363224,0.91243505,0.8745913,0.92383724,0.9090965,0.91252124,0.93243414,0.9692162,0.92521113,0.8913201,0.8845939,0.86912173,0.9046168,0.92136645,0.9037649,0.9447946,0.94549185,0.9316179,0.8941297,0.9020644,0.90306383,0.9025311,0.9260497,1.0000001,0.9195671,0.92232037,0.8721383,0.87971747,0.87894756,0.9041025
VIDEOGAME-Jaz_MED_02,0.9551604,0.92042446,0.93269145,0.9395,0.902319,0.9321115,0.9382915,0.9344918,0.9400566,0.9411295,0.96059716,0.963073,0.92421114,0.926456,0.9337965,0.9265762,0.9521654,0.9240519,0.94020647,0.93167806,0.91615254,0.90910333,0.92389137,0.89909726,0.94745666,0.9399437,0.9510981,0.9641452,0.91513956,0.9231514,0.9160375,0.9229713,0.9463891,0.92752963,0.9367923,0.9411437,0.8984284,0.90407026,0.9338831,0.9230083,0.95108366,0.9320416,0.9614915,0.9438228,0.89654344,0.88025373,0.90688694,0.92418647,0.9494336,0.9471423,0.93663704,0.9316142,0.8924245,0.88610905,0.9315277,0.90565985,0.9139766,0.9195671,0.9999998,0.9594911,0.89800215,0.884579,0.8864444,0.8901995
VIDEOGAME-Jaz_MED_07,0.958585,0.9426583,0.94030344,0.93790495,0.8916887,0.92471975,0.94777304,0.93873686,0.93932474,0.9467083,0.9791134,0.97342485,0.92009366,0.9146991,0.9290892,0.91228336,0.9487591,0.9184944,0.9368454,0.9356639,0.90631014,0.88236845,0.92935014,0.90706396,0.9389757,0.94003236,0.95308924,0.97423935,0.895575,0.906681,0.9000572,0.9157733,0.94908863,0.9203668,0.9413275,0.93767315,0.87294394,0.8790277,0.92733896,0.9350289,0.93688285,0.9324776,0.9697052,0.96682125,0.8681979,0.8554237,0.8962526,0.91844755,0.9292234,0.9391443,0.9319815,0.92778635,0.88294786,0.8642478,0.91988033,0.911229,0.8997871,0.92232037,0.9594911,1.0,0.86947036,0.8650213,0.8596582,0.8709489
VIDEOGAME-Met_LOW_09,0.8885518,0.8464455,0.87851846,0.89387774,0.9224437,0.91609395,0.9059507,0.8874402,0.9188203,0.87287533,0.87602633,0.8708682,0.94110507,0.95883924,0.9410746,0.94195044,0.89056015,0.87605846,0.8934837,0.9077273,0.9334472,0.9052769,0.89424694,0.8802485,0.93312997,0.892027,0.8816438,0.8729295,0.94208825,0.93405116,0.95447785,0.9361657,0.9008575,0.8985122,0.8945734,0.8864126,0.9396273,0.92938626,0.9269186,0.8796172,0.9279213,0.8825786,0.88700813,0.83261526,0.9589801,0.949361,0.952211,0.93731284,0.9030474,0.91762453,0.91187346,0.9075217,0.9366648,0.92370117,0.93769825,0.8741322,0.90637726,0.8721383,0.89800215,0.86947036,0.9999999,0.9542228,0.9458375,0.9402669
VIDEOGAME-Met_LOW_14,0.8739219,0.8192568,0.8564636,0.88811755,0.9180932,0.90436566,0.8930197,0.86651033,0.9196788,0.8574323,0.8644113,0.8590273,0.9069619,0.95176697,0.9133791,0.9342307,0.873721,0.84690183,0.88360804,0.8946883,0.9121278,0.89824593,0.86684227,0.87266564,0.92382926,0.8764205,0.86076826,0.863534,0.90345734,0.91509664,0.9428402,0.9027732,0.8887978,0.88852495,0.8856696,0.8793331,0.94300324,0.9383585,0.90623116,0.8751972,0.92408097,0.8858491,0.87567586,0.8183995,0.9494732,0.9538364,0.93389744,0.92371446,0.8923634,0.9134313,0.90612066,0.91709936,0.9494245,0.9408105,0.92315245,0.8850916,0.9279263,0.87971747,0.884579,0.8650213,0.9542228,0.99999994,0.95048386,0.9416762
VIDEOGAME-Met_MED_19,0.8778117,0.829331,0.86254716,0.8849983,0.9197128,0.9084184,0.89410037,0.8805248,0.9121096,0.8594572,0.87202287,0.8692629,0.91379404,0.9494694,0.9292468,0.9315444,0.88163483,0.85216504,0.8811444,0.90473276,0.9171675,0.89916635,0.8745276,0.87143034,0.92819816,0.884863,0.87039816,0.86735606,0.9095049,0.9241726,0.94186205,0.91665643,0.8958601,0.88054395,0.8954992,0.8757283,0.95583534,0.94567144,0.9106252,0.8817737,0.92126036,0.884269,0.8853486,0.8332158,0.9428468,0.94118863,0.9370594,0.92384803,0.9040876,0.9109732,0.9017471,0.90970176,0.9412854,0.94613284,0.92285144,0.8929918,0.9195428,0.87894756,0.8864444,0.8596582,0.9458375,0.95048386,1.0,0.9581826
VIDEOGAME-Met_MED_20,0.88011134,0.84345114,0.8869536,0.9032117,0.92973745,0.92742014,0.9006635,0.8832272,0.92433035,0.87478346,0.8761227,0.8723778,0.9162165,0.94182885,0.9340634,0.9467101,0.8832917,0.87636614,0.9061478,0.90322673,0.9264163,0.91344386,0.87892056,0.88205034,0.93203175,0.9012583,0.88162786,0.87056124,0.9191526,0.9258878,0.9471034,0.9269888,0.8935058,0.90103257,0.91277826,0.8956382,0.94356894,0.94912267,0.91127527,0.8934139,0.9297099,0.90111905,0.8875137,0.83746433,0.9332301,0.93071383,0.94110316,0.93594927,0.901322,0.9305886,0.92149055,0.9235804,0.9417999,0.93981624,0.9210137,0.8963473,0.9308788,0.9041025,0.8901995,0.8709489,0.9402669,0.9416762,0.9581826,0.99999994
