ClipContext_pair,BAR-80s_LOW_02,BAR-80s_LOW_06,BAR-80s_MED_08,BAR-80s_MED_13,BAR-Ele_LOW_09,BAR-Ele_LOW_14,BAR-Ele_MED_19,BAR-Ele_MED_20,BAR-Jaz_LOW_19,BAR-Jaz_LOW_21,BAR-Jaz_MED_02,BAR-Jaz_MED_07,BAR-Met_LOW_09,BAR-Met_LOW_14,BAR-Met_MED_19,BAR-Met_MED_20,CONCERT-80s_LOW_02,CONCERT-80s_LOW_06,CONCERT-80s_MED_08,CONCERT-80s_MED_13,CONCERT-Ele_LOW_09,CONCERT-Ele_LOW_14,CONCERT-Ele_MED_19,CONCERT-Ele_MED_20,CONCERT-Jaz_LOW_19,CONCERT-Jaz_LOW_21,CONCERT-Jaz_MED_02,CONCERT-Jaz_MED_07,CONCERT-Met_LOW_09,CONCERT-Met_LOW_14,CONCERT-Met_MED_19,CONCERT-Met_MED_20,MOVIE-80s_LOW_02,MOVIE-80s_LOW_06,MOVIE-80s_MED_08,MOVIE-80s_MED_13,MOVIE-Ele_LOW_09,MOVIE-Ele_LOW_14,MOVIE-Ele_MED_19,MOVIE-Ele_MED_20,MOVIE-Jaz_LOW_19,MOVIE-Jaz_LOW_21,MOVIE-Jaz_MED_02,MOVIE-Jaz_MED_07,MOVIE-Met_LOW_09,MOVIE-Met_LOW_14,MOVIE-Met_MED_19,MOVIE-Met_MED_20,VIDEOGAME-80s_LOW_02,VIDEOGAME-80s_LOW_06,VIDEOGAME-80s_MED_08,VIDEOGAME-80s_MED_13,VIDEOGAME-Ele_LOW_09,VIDEOGAME-Ele_LOW_14,VIDEOGAME-Ele_MED_19,VIDEOGAME-Ele_MED_20,VIDEOGAME-Jaz_LOW_19,VIDEOGAME-Jaz_LOW_21,VIDEOGAME-Jaz_MED_02,VIDEOGAME-Jaz_MED_07,VIDEOGAME-Met_LOW_09,VIDEOGAME-Met_LOW_14,VIDEOGAME-Met_MED_19,VIDEOGAME-Met_MED_20
BAR-Jaz_MED_02,0.96972483,0.9519421,0.94834584,0.94265515,0.9116216,0.933481,0.95880187,0.9548644,0.94534254,0.9606192,0.9999999,0.97228545,0.94030386,0.9304883,0.94411546,0.92753613,0.9582082,0.93364906,0.9464778,0.95025086,0.9284304,0.90466714,0.94570404,0.92674786,0.9539414,0.95161515,0.9606989,0.9767203,0.91673315,0.92387754,0.9153092,0.91292495,0.95843345,0.92346305,0.9475033,0.94398963,0.89371794,0.8961116,0.94197935,0.94810593,0.9453376,0.93883413,0.97046924,0.9618487,0.894991,0.87561226,0.920072,0.93183744,0.94645345,0.9461961,0.94229674,0.9369996,0.8978631,0.8812608,0.9405239,0.93352264,0.90594184,0.9324257,0.96665084,0.9800925,0.8936118,0.8796932,0.88221735,0.89359874
BAR-Jaz_MED_07,0.9589443,0.9455822,0.948743,0.9391891,0.8969587,0.92327225,0.9478027,0.93921465,0.94417226,0.9558522,0.97228545,0.9999996,0.9202555,0.9235656,0.93239415,0.91950226,0.9688143,0.92687404,0.9331493,0.9354544,0.9135521,0.8995844,0.9375636,0.9073662,0.94463897,0.9474021,0.9507972,0.97628886,0.9029858,0.91761714,0.90477073,0.91294134,0.9475274,0.912348,0.937615,0.93494964,0.8809154,0.88824826,0.9258922,0.92898756,0.94532126,0.93309414,0.96408325,0.9643838,0.88448185,0.86916935,0.90632164,0.9306201,0.9419412,0.9419516,0.92849314,0.9266462,0.8727823,0.8738005,0.9238393,0.9193295,0.90025663,0.9259414,0.9644692,0.9762377,0.87845373,0.8617431,0.8829611,0.8883355
BAR-Met_LOW_09,0.93184716,0.9236314,0.9413905,0.92657113,0.93165547,0.94641393,0.9357203,0.9284269,0.9449842,0.9327079,0.94030386,0.9202555,1.0,0.9588207,0.9666576,0.949995,0.93537724,0.93013823,0.9373285,0.94450957,0.94769967,0.93013996,0.9448001,0.9086354,0.9625716,0.9357288,0.93605906,0.9326357,0.96299416,0.95542234,0.9615464,0.9527607,0.9347256,0.9186715,0.9313347,0.92773783,0.9199458,0.9167042,0.94136244,0.9158824,0.94992346,0.91640955,0.9365947,0.89801514,0.93096066,0.91297734,0.9576524,0.9551019,0.9225179,0.93776953,0.9372953,0.92930293,0.9196968,0.90870863,0.9458395,0.9046326,0.91433656,0.9075575,0.9332502,0.9258603,0.95002365,0.9113556,0.9224875,0.9279815
BAR-Met_LOW_14,0.92669654,0.8923332,0.9336545,0.939617,0.95162755,0.950919,0.9413508,0.91387564,0.95579386,0.92671645,0.9304883,0.9235656,0.9588207,0.99999964,0.9619041,0.96596175,0.93915284,0.9165497,0.9368288,0.9374008,0.9561495,0.9423509,0.91756225,0.91019565,0.96425235,0.9377346,0.9160183,0.92721444,0.950803,0.95436037,0.9604276,0.9448922,0.9307906,0.93349975,0.93271285,0.92589813,0.9516334,0.9546245,0.94742185,0.9250436,0.95734733,0.9323346,0.9380362,0.88792855,0.9637951,0.95447624,0.97097963,0.96407384,0.93795425,0.95495546,0.9369433,0.943007,0.9524605,0.94247943,0.9533758,0.9157103,0.94043815,0.93122333,0.9406334,0.9242427,0.967777,0.9572457,0.95573497,0.95286644
BAR-Met_MED_19,0.94451743,0.91328436,0.93992287,0.933737,0.9536097,0.9545034,0.9484432,0.9317781,0.95534116,0.9362201,0.94411546,0.93239415,0.9666576,0.9619041,0.9999999,0.95161515,0.9335633,0.9241922,0.94094115,0.93347305,0.942031,0.93595743,0.93380046,0.9145561,0.9651211,0.9366144,0.926561,0.93474096,0.9549928,0.9472374,0.95266277,0.944239,0.9383026,0.925802,0.9451618,0.9271566,0.9360213,0.9357455,0.9423321,0.9261376,0.95359915,0.9349745,0.9413978,0.91067266,0.9410694,0.9284711,0.9575113,0.9538067,0.9324876,0.9509086,0.9430691,0.9401173,0.935323,0.9247849,0.9454006,0.9140637,0.9280173,0.93027604,0.9442931,0.93500596,0.9465887,0.9189348,0.9295124,0.9459828
BAR-Met_MED_20,0.91458726,0.90136456,0.9457325,0.9527739,0.95880026,0.9533622,0.9407652,0.90997696,0.9623168,0.9352101,0.92753613,0.91950226,0.949995,0.96596175,0.95161515,0.9999997,0.9442079,0.9299968,0.9467012,0.9405989,0.95569927,0.9416086,0.92083883,0.91034687,0.9662709,0.946653,0.930349,0.92907476,0.95566165,0.9651214,0.9764748,0.9618556,0.91917664,0.94415253,0.93454516,0.93228,0.9324423,0.95148134,0.94267994,0.9203003,0.9544699,0.93930703,0.9251557,0.87845904,0.94376856,0.9351807,0.9684743,0.97292536,0.9229987,0.957582,0.93959415,0.9473829,0.94299066,0.9315245,0.94375134,0.9187269,0.94292325,0.9424318,0.9386156,0.9188069,0.95121455,0.93076247,0.93934774,0.9565327
CONCERT-80s_LOW_02,0.9574953,0.9337189,0.9445957,0.9474085,0.9147998,0.93236035,0.9487037,0.9378161,0.9445244,0.9473229,0.9582082,0.9688143,0.93537724,0.93915284,0.9335633,0.9442079,0.99999976,0.94110215,0.9391899,0.953795,0.9384465,0.9208587,0.9501032,0.9189308,0.94969237,0.95052606,0.95189023,0.9667448,0.93075275,0.94735163,0.9377127,0.94635344,0.94974947,0.92634517,0.9339194,0.9482429,0.89650536,0.90663767,0.9371744,0.92862564,0.9500862,0.92934775,0.95202,0.9294968,0.8999206,0.89157,0.9287462,0.9502361,0.9440447,0.94577646,0.9341781,0.93770134,0.8920518,0.88601565,0.93694437,0.9230466,0.90671563,0.9194108,0.95721835,0.95438683,0.9028131,0.880226,0.9078816,0.9071284
CONCERT-80s_LOW_06,0.9165827,0.9550069,0.95849663,0.93698484,0.91844684,0.94168645,0.9133271,0.9057332,0.94570017,0.94967127,0.93364906,0.92687404,0.93013823,0.9165497,0.9241922,0.9299968,0.94110215,1.0000004,0.94270885,0.92852765,0.9403458,0.9154715,0.9348567,0.87422454,0.94617456,0.9505842,0.95047665,0.94489,0.92408806,0.9349991,0.92784935,0.9313331,0.9222132,0.94251245,0.9339641,0.9329878,0.8767195,0.8924584,0.9251471,0.8914968,0.94663715,0.91908675,0.93383217,0.90126896,0.8841921,0.86431795,0.9202612,0.9353358,0.90446514,0.9363041,0.94689465,0.91096234,0.8797834,0.85860574,0.9166156,0.8698204,0.9106487,0.909682,0.9339948,0.931164,0.89135194,0.8556814,0.87331,0.8938856
CONCERT-80s_MED_08,0.940686,0.92828566,0.95173514,0.9539517,0.92941564,0.9423899,0.9440423,0.93045866,0.95066243,0.94185984,0.9464778,0.9331493,0.9373285,0.9368288,0.94094115,0.9467012,0.9391899,0.94270885,0.9999998,0.95293355,0.9470421,0.926454,0.9281507,0.91306275,0.94876283,0.95585716,0.9331032,0.94368595,0.9304325,0.93445754,0.9315212,0.9197391,0.93795955,0.9565866,0.96211076,0.95671326,0.90499705,0.9238947,0.9404591,0.9328573,0.9560613,0.9542724,0.9516045,0.9058722,0.90852565,0.8863518,0.9344246,0.940119,0.9344798,0.9589763,0.95001346,0.94606,0.9154819,0.8965341,0.9356277,0.92358327,0.9248262,0.9495539,0.94895554,0.93951905,0.90587324,0.89491254,0.8828798,0.91539454
CONCERT-80s_MED_13,0.9471028,0.922041,0.93033314,0.9543902,0.9141203,0.9346059,0.95219904,0.942453,0.93885493,0.9333228,0.95025086,0.9354544,0.94450957,0.9374008,0.93347305,0.9405989,0.953795,0.92852765,0.95293355,0.9999998,0.94373655,0.9179013,0.949876,0.9352896,0.9481149,0.940951,0.94731283,0.94758606,0.93100244,0.93691045,0.9359396,0.92987376,0.95083064,0.9406411,0.9558539,0.96213543,0.909652,0.91380733,0.9456781,0.9377302,0.9475903,0.9331469,0.9544981,0.9154561,0.90595204,0.89650023,0.930707,0.9429097,0.9439755,0.941592,0.9364932,0.9504528,0.91570234,0.89667416,0.9481305,0.93004847,0.9083288,0.92320985,0.94246423,0.9423113,0.91639096,0.89664614,0.90324146,0.9107157
