clip_name,context_word,clip_genre,TSNE1,TSNE2
80s_MED_08,movie,80s,-5.3470116,8.9839525
Ele_LOW_09,movie,Electronic,-2.0389242,-6.7031393
Jaz_MED_02,concert,Jazz,23.362467,-6.545158
80s_LOW_02,videogame,80s,47.633747,11.208136
Met_MED_20,movie,Metal,-15.1358385,12.56918
Ele_MED_19,concert,Electronic,-5.863121,5.575881
Met_LOW_09,bar,Metal,39.702106,25.839241
80s_LOW_06,bar,80s,41.58409,-7.8524485
80s_MED_08,movie,80s,30.918224,-7.439261
Met_LOW_14,concert,Metal,9.950346,3.8674548
Ele_MED_19,concert,Electronic,-9.644988,37.67594
Ele_MED_20,bar,Electronic,40.63894,-9.699377
80s_MED_13,concert,80s,9.155827,-8.023687
Jaz_LOW_21,bar,Jazz,27.383463,-7.04293
Met_MED_20,movie,Metal,3.0535922,-6.098679
Jaz_LOW_19,videogame,Jazz,-13.516139,-46.39611
Met_LOW_09,bar,Metal,9.383062,34.793457
Jaz_MED_07,movie,Jazz,10.26917,-22.307718
Ele_LOW_14,videogame,Electronic,-36.355335,2.172916
80s_MED_13,concert,80s,12.831189,36.030624
80s_LOW_02,videogame,80s,-2.4646325,-38.806774
80s_MED_08,movie,80s,-3.8769212,-38.44908
Jaz_MED_02,concert,Jazz,10.915829,34.94049
Ele_MED_19,concert,Electronic,11.732694,35.259277
Ele_MED_20,bar,Electronic,-17.585032,23.888048
Jaz_LOW_21,bar,Jazz,29.948862,30.480404
Met_MED_19,videogame,Metal,-15.057207,-45.82807
80s_LOW_06,bar,80s,11.836534,35.108997
Met_LOW_14,concert,Metal,8.028162,31.562038
Ele_LOW_09,movie,Electronic,-45.04948,-2.3089764
80s_MED_08,movie,80s,14.906508,-1.0627944
Met_MED_19,videogame,Metal,-16.213139,-45.592445
80s_LOW_02,videogame,80s,14.620029,-39.522705
Met_MED_20,movie,Metal,-22.479612,28.184153
Ele_MED_19,concert,Electronic,22.935904,38.338676
Jaz_LOW_19,videogame,Jazz,-12.552152,-46.106354
Jaz_MED_07,movie,Jazz,-2.978252,42.816517
Met_LOW_09,bar,Metal,20.018604,33.791492
80s_LOW_06,bar,80s,20.810215,34.327442
Jaz_MED_02,concert,Jazz,10.403294,32.85154
Ele_LOW_09,movie,Electronic,-7.7389545,-38.84334
Ele_MED_20,bar,Electronic,22.508009,42.658226
Ele_LOW_14,videogame,Electronic,-17.426117,-31.4828
Met_LOW_14,concert,Metal,-22.09067,27.563686
80s_MED_13,concert,80s,-15.80483,31.162426
Jaz_MED_07,movie,Jazz,-7.115455,45.66916
Jaz_LOW_19,videogame,Jazz,-38.67537,-30.735622
80s_LOW_06,bar,80s,-1.7939415,-12.540292
Met_MED_19,videogame,Metal,-40.97087,-16.335562
Ele_LOW_09,movie,Electronic,3.9927766,-9.971975
Met_MED_20,movie,Metal,-21.405254,-19.697264
80s_MED_08,movie,80s,-30.313644,11.956058
Met_LOW_09,bar,Metal,17.627201,14.894724
80s_LOW_02,videogame,80s,-6.060858,44.724026
Met_LOW_14,concert,Metal,16.293177,15.9108715
Ele_LOW_14,videogame,Electronic,-27.109528,-22.30687
80s_LOW_02,videogame,80s,-7.933168,22.12621
Ele_MED_19,concert,Electronic,25.466711,45.42536
Ele_LOW_09,movie,Electronic,-43.924072,3.2205043
Met_LOW_14,concert,Metal,13.528515,-45.39943
Ele_MED_20,bar,Electronic,26.347618,44.852627
Met_MED_19,videogame,Metal,-12.1727915,-36.95913
Ele_LOW_14,videogame,Electronic,-7.5932302,21.125044
Jaz_LOW_21,bar,Jazz,26.253853,44.847004
80s_MED_08,movie,80s,-4.1500187,3.241206
Jaz_MED_02,concert,Jazz,44.690952,2.901741
Met_MED_20,movie,Metal,14.00007,10.569178
80s_MED_13,concert,80s,20.047411,-16.253086
80s_LOW_06,bar,80s,34.02192,28.753862
Ele_LOW_14,videogame,Electronic,15.094899,7.8755217
Ele_LOW_09,movie,Electronic,20.3807,-16.888035
Met_LOW_09,bar,Metal,34.066235,-10.6092205
Met_MED_19,videogame,Metal,11.102554,8.010972
Ele_MED_19,concert,Electronic,35.92542,29.22022
Met_LOW_09,bar,Metal,-31.215305,23.73159
Jaz_MED_02,concert,Jazz,1.5552351,25.6726
Met_MED_20,movie,Metal,32.90104,-15.721709
80s_LOW_06,bar,80s,33.135193,-13.843154
Met_MED_19,videogame,Metal,-11.0849905,1.15689
80s_MED_13,concert,80s,33.078262,-15.325128
80s_MED_08,movie,80s,22.750982,-7.195444
Jaz_LOW_21,bar,Jazz,-14.891309,-36.40684
Jaz_MED_07,movie,Jazz,22.711327,-22.171732
Met_LOW_14,concert,Metal,-29.357592,27.23993
80s_LOW_02,videogame,80s,-7.8375034,-27.367922
Ele_LOW_14,videogame,Electronic,-18.495062,-42.732483
Ele_MED_20,bar,Electronic,-1.3783193,9.516319
Ele_LOW_09,movie,Electronic,-47.941124,-0.46552578
Jaz_MED_07,movie,Jazz,49.913975,10.690668
Met_MED_20,movie,Metal,39.846413,23.155798
80s_MED_13,concert,80s,23.816639,43.4657
Ele_LOW_14,videogame,Electronic,-13.088906,-46.761475
80s_MED_08,movie,80s,21.23005,-9.647929
Met_MED_19,videogame,Metal,-11.044031,-44.53588
80s_LOW_02,videogame,80s,-7.774174,35.860615
80s_LOW_06,bar,80s,35.700634,28.871702
Jaz_LOW_21,bar,Jazz,27.169762,30.677437
Met_LOW_14,concert,Metal,19.335464,7.843869
Ele_LOW_09,movie,Electronic,-32.15751,6.341912
Met_MED_19,videogame,Metal,-24.485725,-12.090545
80s_MED_08,movie,80s,8.730918,-33.53354
Jaz_LOW_21,bar,Jazz,23.53084,39.993996
Ele_MED_20,bar,Electronic,38.387966,-12.621143
Jaz_MED_02,concert,Jazz,19.8856,35.780083
Met_MED_20,movie,Metal,-37.171913,9.477779
Met_LOW_14,concert,Metal,15.275845,29.3157
Jaz_MED_07,movie,Jazz,50.50013,9.191906
Ele_LOW_14,videogame,Electronic,-48.312775,-5.840739
80s_MED_13,concert,80s,10.136909,31.994085
Ele_MED_19,concert,Electronic,10.056779,31.522852
Met_LOW_09,bar,Metal,2.9898221,18.4765
80s_LOW_02,videogame,80s,20.354658,-34.696922
80s_LOW_06,bar,80s,15.169523,32.280426
Ele_LOW_09,movie,Electronic,-42.9346,0.8212807
80s_MED_08,movie,80s,-1.5373449,43.459396
80s_LOW_06,bar,80s,24.457502,37.87315
Met_MED_19,videogame,Metal,-52.160107,6.5377254
Jaz_MED_02,concert,Jazz,7.9747667,26.310963
Met_LOW_14,concert,Metal,16.55424,29.614668
Ele_LOW_14,videogame,Electronic,-48.775723,-12.325168
Jaz_MED_07,movie,Jazz,-4.2120695,22.341312
80s_MED_13,concert,80s,8.5534,27.016064
Jaz_LOW_19,videogame,Jazz,-37.57616,-30.306887
Met_LOW_09,bar,Metal,-41.151314,-6.859389
Ele_MED_20,bar,Electronic,21.774109,-20.123863
Jaz_MED_02,concert,Jazz,29.841673,-13.485608
80s_LOW_02,videogame,80s,7.666935,-28.592936
Jaz_MED_07,movie,Jazz,20.577887,43.82561
Jaz_LOW_21,bar,Jazz,23.281458,5.7409773
Ele_MED_19,concert,Electronic,15.651515,-16.769348
80s_LOW_06,bar,80s,-16.512049,-12.0133915
Ele_LOW_14,videogame,Electronic,22.300316,6.0052733
Ele_LOW_09,movie,Electronic,-20.860184,-38.83869
80s_LOW_02,videogame,80s,-42.24078,19.684937
Ele_MED_19,concert,Electronic,25.95205,26.386786
Jaz_LOW_21,bar,Jazz,28.974974,6.5983696
Met_LOW_09,bar,Metal,21.248049,28.392939
Jaz_MED_02,concert,Jazz,43.539635,-4.3896
80s_LOW_06,bar,80s,25.363136,37.20175
80s_MED_13,concert,80s,1.1765846,46.51571
Ele_LOW_14,videogame,Electronic,-29.852911,-36.320953
Jaz_LOW_19,videogame,Jazz,-35.589535,-33.091488
80s_MED_08,movie,80s,-39.882874,19.012165
Met_MED_20,movie,Metal,-48.35288,-4.897219
Met_MED_19,videogame,Metal,-51.048515,5.1348634
Jaz_MED_07,movie,Jazz,51.050755,8.935887
Met_LOW_14,concert,Metal,21.979538,24.537422
Jaz_MED_07,movie,Jazz,-2.7770526,1.8486762
Ele_LOW_09,movie,Electronic,-28.134468,-10.566876
Met_MED_19,videogame,Metal,-49.011425,-22.826935
80s_LOW_02,videogame,80s,-9.026812,-13.9608755
Met_LOW_09,bar,Metal,-3.2010608,-18.850712
Jaz_LOW_21,bar,Jazz,-24.64947,-16.858223
Ele_MED_19,concert,Electronic,21.460218,-15.812286
80s_MED_08,movie,80s,11.6632805,-41.503155
Met_MED_20,movie,Metal,7.4749937,-6.277213
Ele_LOW_14,videogame,Electronic,-27.971191,-35.642284
80s_LOW_02,videogame,80s,37.92222,-17.140484
Jaz_LOW_19,videogame,Jazz,29.17928,-12.843285
Ele_MED_20,bar,Electronic,28.763521,-32.101376
80s_MED_13,concert,80s,21.927383,-22.339993
Jaz_MED_07,movie,Jazz,28.77085,-11.829756
Jaz_LOW_21,bar,Jazz,42.14919,8.699143
Met_MED_20,movie,Metal,-49.034344,-9.819911
Ele_LOW_09,movie,Electronic,-53.387947,-7.5561333
Jaz_MED_07,movie,Jazz,-30.910446,3.4321406
Met_LOW_09,bar,Metal,-42.538048,-8.891953
Ele_LOW_09,movie,Electronic,-34.81661,-21.001966
80s_LOW_06,bar,80s,50.594765,15.701757
Ele_LOW_14,videogame,Electronic,-40.888336,-15.045631
Ele_MED_20,bar,Electronic,14.478455,-27.63804
Jaz_LOW_19,videogame,Jazz,-29.676275,-31.37024
Met_MED_19,videogame,Metal,-42.361126,-10.846978
80s_MED_08,movie,80s,-5.967734,-29.71481
80s_MED_13,concert,80s,50.64326,16.271093
80s_LOW_02,videogame,80s,23.134037,-9.352553
Met_MED_20,movie,Metal,-42.050922,-7.9502006
Jaz_MED_02,concert,Jazz,-14.837222,-2.5200465
Ele_MED_19,concert,Electronic,14.504245,-33.5641
Jaz_MED_02,concert,Jazz,44.94876,7.9676657
80s_LOW_02,videogame,80s,11.448984,-29.256247
Met_MED_20,movie,Metal,20.971561,37.98608
Jaz_MED_07,movie,Jazz,21.085707,42.40859
Met_MED_19,videogame,Metal,-15.027082,-43.15412
Ele_LOW_14,videogame,Electronic,-34.623333,-19.846424
80s_MED_08,movie,80s,-37.915928,18.40695
Ele_LOW_09,movie,Electronic,-26.236818,2.0502813
80s_MED_13,concert,80s,-1.336738,40.874706
Ele_MED_20,bar,Electronic,35.208275,2.4595425
Jaz_LOW_19,videogame,Jazz,21.684511,40.18183
Met_LOW_09,bar,Metal,20.250349,14.41012
Met_LOW_14,concert,Metal,-42.112835,1.5643706
80s_LOW_06,bar,80s,34.04527,-7.894882
Jaz_MED_07,movie,Jazz,40.45922,4.474192
Ele_MED_19,concert,Electronic,18.498493,-25.83667
Jaz_LOW_19,videogame,Jazz,-37.52693,-31.60776
Jaz_MED_02,concert,Jazz,38.26296,9.293813
80s_LOW_02,videogame,80s,11.602344,-29.094387
80s_MED_13,concert,80s,13.208075,-45.3019
Jaz_LOW_21,bar,Jazz,-18.512657,-8.0967655
Met_LOW_14,concert,Metal,-27.851624,-12.11134
Met_MED_19,videogame,Metal,-5.4744396,-1.0131707
80s_LOW_06,bar,80s,-4.78661,22.8243
Ele_LOW_14,videogame,Electronic,12.544958,-45.1495
Ele_LOW_09,movie,Electronic,-40.500996,0.5495612
Met_MED_20,movie,Metal,1.1141263,1.1567274
Jaz_LOW_21,bar,Jazz,-14.600817,-18.203688
Ele_MED_20,bar,Electronic,22.31538,-30.94443
Met_MED_19,videogame,Metal,-14.301135,21.626787
Jaz_MED_07,movie,Jazz,-0.91007346,-1.9257258
80s_LOW_02,videogame,80s,8.277802,-30.26847
Ele_LOW_09,movie,Electronic,-30.929419,-8.034291
80s_LOW_06,bar,80s,39.118206,-0.1073313
Jaz_MED_07,movie,Jazz,-2.3264303,2.5100133
Jaz_LOW_21,bar,Jazz,26.588081,40.31822
Met_MED_19,videogame,Metal,-1.65985,19.155218
Jaz_MED_02,concert,Jazz,-38.047543,24.75881
Ele_MED_19,concert,Electronic,-7.7499785,-40.503704
Met_MED_20,movie,Metal,-12.336441,-8.143647
80s_MED_13,concert,80s,-12.201974,17.264791
Ele_MED_20,bar,Electronic,-18.212309,14.413429
Met_LOW_09,bar,Metal,26.791359,-2.194358
80s_MED_08,movie,80s,29.294537,39.715782
Jaz_LOW_19,videogame,Jazz,-39.781097,2.7018993
Ele_LOW_14,videogame,Electronic,-30.296623,-37.024994
80s_LOW_06,bar,80s,23.621881,-35.109535
Ele_LOW_09,movie,Electronic,-22.09067,27.563686
80s_MED_13,concert,80s,29.337214,-10.410581
Met_MED_19,videogame,Metal,8.010403,-12.132434
Met_LOW_14,concert,Metal,-19.587336,35.2932
Jaz_LOW_19,videogame,Jazz,32.148003,42.207634
Met_LOW_09,bar,Metal,-26.382883,27.53746
Ele_MED_19,concert,Electronic,12.006557,16.494673
80s_LOW_02,videogame,80s,-11.906602,16.34091
Met_MED_20,movie,Metal,-19.587336,35.2932
Jaz_LOW_21,bar,Jazz,-18.31967,-15.736887
80s_MED_08,movie,80s,15.468396,-3.2180238
Jaz_MED_07,movie,Jazz,12.812896,17.269196
80s_MED_08,movie,80s,8.485551,1.5801859
Met_LOW_14,concert,Metal,-50.16189,-15.440492
Jaz_LOW_21,bar,Jazz,21.484383,3.0811913
Ele_MED_19,concert,Electronic,12.2106285,8.107458
Ele_LOW_14,videogame,Electronic,-35.09366,-12.646625
Jaz_MED_02,concert,Jazz,-1.504859,-3.3869696
Met_MED_19,videogame,Metal,8.885712,14.303106
Ele_LOW_09,movie,Electronic,-14.295577,-48.261574
80s_LOW_02,videogame,80s,17.932592,-26.758236
Met_MED_20,movie,Metal,5.3802023,18.525482
Met_LOW_09,bar,Metal,5.30642,18.68179
Jaz_MED_07,movie,Jazz,37.26037,15.095613
Ele_MED_20,bar,Electronic,14.677943,-34.91254
Ele_LOW_09,movie,Electronic,-43.292717,17.06424
Jaz_MED_02,concert,Jazz,13.97418,1.5909315
Met_LOW_09,bar,Metal,-5.285646,8.94746
80s_LOW_06,bar,80s,-5.7230077,27.82927
Ele_LOW_14,videogame,Electronic,-40.738285,-32.90989
Met_MED_19,videogame,Metal,-49.423615,3.4983342
Ele_MED_19,concert,Electronic,7.6144423,4.589335
Ele_MED_20,bar,Electronic,45.733448,4.2956758
Jaz_LOW_19,videogame,Jazz,-46.96548,-16.843216
Met_LOW_14,concert,Metal,-4.45597,-3.0862164
Ele_MED_20,bar,Electronic,-7.073646,-3.6768706
Met_LOW_09,bar,Metal,-2.4219658,10.655329
Ele_MED_19,concert,Electronic,-7.5483837,44.891876
80s_LOW_06,bar,80s,4.6882534,-5.9659896
Ele_LOW_14,videogame,Electronic,-2.8836167,-10.624068
Met_MED_19,videogame,Metal,-30.879553,-10.153025
80s_LOW_02,videogame,80s,8.175009,-41.721546
Ele_LOW_09,movie,Electronic,-8.034461,-4.015026
Jaz_LOW_21,bar,Jazz,-21.658007,19.95899
80s_MED_08,movie,80s,-39.14308,-26.516317
Met_MED_20,movie,Metal,-6.679287,-5.974533
80s_MED_13,concert,80s,-9.393666,-11.873407
Ele_MED_19,concert,Electronic,28.626673,-31.92663
Jaz_LOW_19,videogame,Jazz,-42.845882,-2.3044086
Jaz_MED_07,movie,Jazz,47.75209,6.0030828
80s_MED_08,movie,80s,34.135624,-4.217983
Met_MED_20,movie,Metal,-13.8834715,-22.12924
Ele_LOW_09,movie,Electronic,-14.132803,-44.963627
Ele_LOW_14,videogame,Electronic,-14.953661,-46.59053
80s_LOW_06,bar,80s,35.251564,34.6255
Ele_MED_20,bar,Electronic,20.641956,-8.99032
Met_LOW_09,bar,Metal,52.856297,14.2198305
80s_MED_13,concert,80s,2.0197983,31.30281
Met_MED_19,videogame,Metal,-15.882739,-39.68606
80s_LOW_02,videogame,80s,23.386507,-22.11503
80s_MED_08,movie,80s,34.333508,-6.501399
Met_MED_20,movie,Metal,-50.375114,-5.6478114
Ele_LOW_14,videogame,Electronic,-38.099678,1.2593731
Met_LOW_14,concert,Metal,11.65292,30.397305
Jaz_MED_02,concert,Jazz,9.350704,37.0326
Ele_MED_19,concert,Electronic,-0.6332644,-9.292672
Jaz_LOW_19,videogame,Jazz,-37.23509,-33.13159
Ele_LOW_09,movie,Electronic,28.010834,25.05935
Jaz_MED_07,movie,Jazz,47.299026,7.8855863
80s_MED_13,concert,80s,11.089954,27.000433
80s_LOW_06,bar,80s,-2.076627,-12.854034
Jaz_LOW_21,bar,Jazz,35.840874,16.468254
Ele_LOW_09,movie,Electronic,-13.64138,-43.241875
80s_MED_13,concert,80s,16.96165,-30.998297
Jaz_MED_07,movie,Jazz,37.760826,3.3864107
Ele_LOW_14,videogame,Electronic,-29.68004,-36.90763
Jaz_LOW_19,videogame,Jazz,-18.861135,-17.503464
Jaz_MED_02,concert,Jazz,-1.2952905,40.45563
Met_LOW_09,bar,Metal,11.020549,28.759132
Met_LOW_14,concert,Metal,-26.812565,-8.202137
80s_MED_08,movie,80s,-6.333129,-37.496483
Jaz_LOW_21,bar,Jazz,18.380747,-6.539764
Met_MED_20,movie,Metal,-5.615324,-0.21921872
Ele_MED_19,concert,Electronic,20.199348,25.942266
80s_MED_13,concert,80s,15.5467,22.247686
Met_MED_20,movie,Metal,11.262803,11.245565
Met_LOW_09,bar,Metal,36.427002,-12.561352
Jaz_MED_07,movie,Jazz,1.8799793,38.967415
Met_MED_19,videogame,Metal,-25.9465,8.049381
Ele_LOW_09,movie,Electronic,10.460201,11.470569
Ele_LOW_14,videogame,Electronic,-21.605726,-42.6384
Ele_MED_20,bar,Electronic,37.272938,-12.964382
Met_LOW_14,concert,Metal,18.906733,24.819586
80s_LOW_06,bar,80s,37.1757,-14.161909
80s_MED_08,movie,80s,10.64929,-0.34054446
80s_LOW_02,videogame,80s,9.254335,-26.47334
Jaz_LOW_19,videogame,Jazz,11.249728,0.15686922
Jaz_LOW_21,bar,Jazz,37.368023,-13.496003
80s_LOW_02,videogame,80s,-27.901354,-5.5737967
80s_MED_08,movie,80s,-18.768442,-11.697576
Jaz_MED_07,movie,Jazz,5.83336,-25.417337
Jaz_LOW_19,videogame,Jazz,-34.250927,-30.4114
Met_LOW_09,bar,Metal,21.926678,21.459974
80s_LOW_06,bar,80s,31.943537,32.43636
Ele_LOW_14,videogame,Electronic,-47.656315,-10.676625
Met_LOW_14,concert,Metal,14.147223,1.5618774
Jaz_MED_02,concert,Jazz,28.766375,27.21242
Ele_MED_20,bar,Electronic,-26.272507,-29.15418
Jaz_LOW_21,bar,Jazz,-6.8133483,20.45329
Ele_MED_19,concert,Electronic,-42.63937,16.544027
Jaz_LOW_21,bar,Jazz,30.63973,5.1364045
Ele_MED_20,bar,Electronic,-14.862219,4.40135
Jaz_LOW_19,videogame,Jazz,-27.971262,-17.29063
Ele_LOW_14,videogame,Electronic,28.173698,37.42452
80s_LOW_02,videogame,80s,-43.510715,17.308977
