context,music_mean,music_sd,music_cv,context_mean,context_sd,context_cv,cv_difference,levene_stat,levene_p,sig,n_music,n_context
bar ,0.42733967146445045,0.05051878537256558,0.11821693314698056,0.3685524664820413,0.035527343313667054,0.09639697612876569,0.021819957018214875,4.613587063799094,0.033169985372980486,*,48,120
concert ,0.41959067563352553,0.05147996059283149,0.12269090707295549,0.35820995894098157,0.04513530967147025,0.12600238643534395,-0.0033114793623884586,1.4082111839643408,0.2370491085379453,n.s.,48,120
movie,0.4220927820993281,0.048102107404457715,0.11396098072375516,0.3448540811805973,0.03819535869080189,0.11075803006315384,0.0032029506606013197,6.809834968542874,0.009894143537946386,**,48,120
video game,0.4214780636677549,0.05206859357363842,0.12353808670499003,0.34448027740832726,0.03696321866161299,0.10730140761527228,0.01623667908971775,8.151181549587127,0.004852679789319497,**,48,120
