type,sim
sContext_dClip,0.9690637
sContext_dClip,0.96017635
sContext_dClip,0.96822035
sContext_dClip,0.9602693
sContext_dClip,0.9769863
sContext_dClip,0.9696997
sContext_dClip,0.9645616
sContext_dClip,0.9576796
sContext_dClip,0.9722731
sContext_dClip,0.9821292
sContext_dClip,0.9780046
sContext_dClip,0.96036136
sContext_dClip,0.9717741
sContext_dClip,0.9822389
sContext_dClip,0.9754731
sContext_dClip,0.96880054
sContext_dClip,0.9832367
sContext_dClip,0.95658743
sContext_dClip,0.96150404
sContext_dClip,0.96544075
sContext_dClip,0.95979774
sContext_dClip,0.95381737
sContext_dClip,0.95797205
sContext_dClip,0.9611832
sContext_dClip,0.9599931
sContext_dClip,0.97243834
sContext_dClip,0.9757345
sContext_dClip,0.9717399
sContext_dClip,0.97718036
sContext_dClip,0.9743772
sContext_dClip,0.972931
sContext_dClip,0.9646344
sContext_dClip,0.9744185
sContext_dClip,0.96501666
sContext_dClip,0.9706935
sContext_dClip,0.9701531
sContext_dClip,0.9693711
sContext_dClip,0.9607196
sContext_dClip,0.97922146
sContext_dClip,0.9684264
sContext_dClip,0.9702054
sContext_dClip,0.9682922
sContext_dClip,0.96470773
sContext_dClip,0.965186
sContext_dClip,0.9723524
sContext_dClip,0.9704353
sContext_dClip,0.9645381
sContext_dClip,0.9542439
sContext_dClip,0.9722641
sContext_dClip,0.9782407
sContext_dClip,0.9707428
sContext_dClip,0.9573036
sContext_dClip,0.96688676
sContext_dClip,0.9678913
sContext_dClip,0.95967734
sContext_dClip,0.96586394
sContext_dClip,0.98220503
sContext_dClip,0.9752533
sContext_dClip,0.9800892
sContext_dClip,0.9773362
sContext_dClip,0.9598
sContext_dClip,0.9588091
sContext_dClip,0.97655547
sContext_dClip,0.971294
sContext_dClip,0.9763964
sContext_dClip,0.96479076
sContext_dClip,0.971915
sContext_dClip,0.95954466
sContext_dClip,0.9667755
sContext_dClip,0.9652392
sContext_dClip,0.94590217
sContext_dClip,0.94122946
sContext_dClip,0.9600339
sContext_dClip,0.9651971
sContext_dClip,0.9665285
sContext_dClip,0.951563
sContext_dClip,0.97573674
sContext_dClip,0.94623923
sContext_dClip,0.947693
sContext_dClip,0.9587405
sContext_dClip,0.95868695
sContext_dClip,0.9666691
sContext_dClip,0.96406627
sContext_dClip,0.9609631
sContext_dClip,0.9529201
sContext_dClip,0.94666135
sContext_dClip,0.958066
sContext_dClip,0.94518036
sContext_dClip,0.93081653
sContext_dClip,0.9481058
sContext_dClip,0.950261
sContext_dClip,0.95614374
sContext_dClip,0.9634023
sContext_dClip,0.9663192
sContext_dClip,0.97464836
sContext_dClip,0.96018505
sContext_dClip,0.9534554
sContext_dClip,0.96207273
sContext_dClip,0.9614396
sContext_dClip,0.9516578
sContext_dClip,0.93706656
sContext_dClip,0.9740895
sContext_dClip,0.9554166
sContext_dClip,0.9625109
sContext_dClip,0.96757877
sContext_dClip,0.9636539
sContext_dClip,0.9821954
sContext_dClip,0.97644347
sContext_dClip,0.9729662
sContext_dClip,0.967304
sContext_dClip,0.9675053
sContext_dClip,0.9646627
sContext_dClip,0.95850587
sContext_dClip,0.94558936
sContext_dClip,0.9756901
sContext_dClip,0.9748616
sContext_dClip,0.96972847
sContext_dClip,0.97106767
sContext_dClip,0.976567
sContext_dClip,0.97778046
sContext_dClip,0.9713665
sContext_dClip,0.9749478
sContext_dClip,0.9766053
sContext_dClip,0.97107023
sContext_dClip,0.9747928
sContext_dClip,0.9749626
sContext_dClip,0.9726845
sContext_dClip,0.9614913
sContext_dClip,0.97696483
sContext_dClip,0.97908413
sContext_dClip,0.9825504
sContext_dClip,0.97767377
sContext_dClip,0.9709269
sContext_dClip,0.9788246
sContext_dClip,0.97110546
sContext_dClip,0.98187304
sContext_dClip,0.97232527
sContext_dClip,0.965581
sContext_dClip,0.97496825
sContext_dClip,0.9729772
sContext_dClip,0.9718297
sContext_dClip,0.9505391
sContext_dClip,0.9653001
sContext_dClip,0.96495235
sContext_dClip,0.9601353
sContext_dClip,0.97927594
sContext_dClip,0.984167
sContext_dClip,0.9809394
sContext_dClip,0.9740677
sContext_dClip,0.97451216
sContext_dClip,0.9712529
sContext_dClip,0.95691216
sContext_dClip,0.9727945
sContext_dClip,0.9738289
sContext_dClip,0.9647498
sContext_dClip,0.9724553
sContext_dClip,0.9623096
sContext_dClip,0.95147127
sContext_dClip,0.9769491
sContext_dClip,0.9505802
sContext_dClip,0.97421825
sContext_dClip,0.97132164
sContext_dClip,0.9678719
sContext_dClip,0.9688639
sContext_dClip,0.97457016
sContext_dClip,0.9601871
sContext_dClip,0.9610249
sContext_dClip,0.9589354
sContext_dClip,0.9788615
sContext_dClip,0.9745953
sContext_dClip,0.9723906
sContext_dClip,0.96212775
sContext_dClip,0.96077865
sContext_dClip,0.96614003
sContext_dClip,0.95941937
sContext_dClip,0.97591233
sContext_dClip,0.9785733
sContext_dClip,0.9773947
sContext_dClip,0.96942145
sContext_dClip,0.9685901
sContext_dClip,0.959296
sContext_dClip,0.94502217
sContext_dClip,0.9753569
sContext_dClip,0.9670899
sContext_dClip,0.9513002
sContext_dClip,0.9624235
sContext_dClip,0.973739
sContext_dClip,0.9715369
sContext_dClip,0.962255
sContext_dClip,0.96578217
sContext_dClip,0.94930136
sContext_dClip,0.93512446
sContext_dClip,0.9704453
sContext_dClip,0.9664673
sContext_dClip,0.9495262
sContext_dClip,0.9583003
sContext_dClip,0.9824979
sContext_dClip,0.9601244
sContext_dClip,0.9687927
sContext_dClip,0.95969063
sContext_dClip,0.95821714
sContext_dClip,0.9736598
sContext_dClip,0.96622854
sContext_dClip,0.9632476
sContext_dClip,0.95502377
sContext_dClip,0.95814395
sContext_dClip,0.94551414
sContext_dClip,0.954722
sContext_dClip,0.94475293
sContext_dClip,0.9623932
sContext_dClip,0.9719974
sContext_dClip,0.9658258
sContext_dClip,0.9643883
sContext_dClip,0.9800851
sContext_dClip,0.9773044
sContext_dClip,0.9674765
sContext_dClip,0.9585442
