comparison,group1,group2,mean1,std1,n1,mean2,std2,n2,difference,t,df,p,sig,d
Within vs Between Genre,Within-Genre,Between-Genre,0.36056507426694195,0.0512738895754253,480,0.3269247413096766,0.03527087261587664,1536,0.03364033295726537,13.403705863524582,626.6400682970267,0.0,***,0.7638288722063733
80s vs Between,Within-80s,Between-Genre,0.3537162885925435,0.036377624525072316,120,0.3269247413096766,0.03527087261587664,1536,0.026791547282866923,7.756424531324541,136.92087036476167,1.7974510768681284e-12,***,0.7460400211071533
Ele vs Between,Within-Ele,Between-Genre,0.3407282359951962,0.05075091085655435,120,0.3269247413096766,0.03527087261587664,1536,0.013803494685519613,2.912972206285344,128.064619289115,0.004225498072591982,**,0.314932318615025
Jaz vs Between,Within-Jaz,Between-Genre,0.366099083240321,0.0619204312592387,120,0.3269247413096766,0.03527087261587664,1536,0.039174341930644396,6.8162688528657185,125.05575537600802,3.534077475109143e-10,***,0.7749168141216021
Met vs Between,Within-Met,Between-Genre,0.38171668923970703,0.04317984012797723,120,0.3269247413096766,0.03527087261587664,1536,0.05479194793003045,13.497641378446382,131.6018857212336,0.0,***,1.3861362616214479
