genre,clip_mean,clip_sd,context_mean,context_sd,difference,effect_size,t,p,sig,n_clip,n_context
80s,0.3858078823615098,0.03792933483559049,0.35578448001683904,0.03136222277239467,0.03002340234467077,0.8627158980005558,2.9885355356687437,0.004553673692526094,**,24,24
Ele,0.406700838665931,0.048248980891439544,0.32871076764687795,0.03394194018409326,0.07799007101905303,1.8696636190240372,6.4767047624254666,8.812376772622678e-08,***,24,24
Jaz,0.4297304609680364,0.05074724421228508,0.353380743762826,0.05328311981261897,0.07634971720521039,1.467399338004398,5.083220416833107,6.678976811939544e-06,***,24,24
Met,0.39267309448026483,0.037019137541715236,0.3973284901245675,0.04295438944198684,-0.004655395644302673,-0.11610411142224973,-0.4021964399019492,0.6894427534263511,n.s.,24,24
