TSNE1,TSNE2,term
6.6394367,12.425644,large
-12.081201,5.653488,immediately
-0.6803304,5.171344,mood
16.391365,-13.661429,noir
8.97653,-1.3823,find
1.9109043,-10.184435,another
8.577965,-2.029767,probably
-6.125825,-6.429159,mostly
21.707613,11.286289,water
-15.720374,4.6971393,nintendo
4.1231856,4.121125,even
16.342468,-3.912941,lead
0.42252576,9.863774,full
2.5123181,-9.083185,stand
-10.6114235,-1.3484343,setting
-2.5061524,-7.3589005,outside
-11.272383,16.166433,colour
18.455624,7.5804443,jump
2.773717,3.368495,home
4.3903913,-8.074812,next
-8.971803,-4.3599825,front
2.448804,-14.484919,enter
9.758122,-6.874888,kick
3.2804625,-3.2191215,past
2.5127811,-5.603747,saw
-7.713343,-17.284836,racing
17.353504,-10.131944,red
17.907629,8.535164,hype
21.01338,0.8445643,fiction
21.013332,0.84449375,science
4.992346,4.235393,specific
4.437371,-4.9026256,slowly
-5.9037695,5.522178,busy
-2.7664583,1.5528945,put
4.5660715,11.494138,audience
-11.968402,14.34505,chill
-0.6122316,0.15170953,house
-15.154762,-9.862244,mosh
0.5164434,-8.64319,partner
-8.994518,-11.903556,others
-10.639524,7.287581,perhaps
14.846995,-11.976158,drinking
-4.6760674,-14.031028,bad
2.5521815,-10.963986,star
14.923159,-10.450709,glass
5.3972983,1.5051907,seat
-2.5592601,-5.321939,hand
-11.676029,3.4570518,face
-5.4676337,-14.321074,protagonist
15.216657,-12.947096,cafe
-10.784963,11.233689,phone
14.967742,10.807935,shoot
0.7481718,7.7328453,either
1.3100221,-6.548697,age
4.696471,-0.70056486,though
0.18334839,-5.18476,experience
-12.945307,-4.3021355,energetic
-1.2144861,-5.052726,need
16.876896,1.9581249,bright
5.729159,-8.172936,singer
3.1183987,6.117812,lose
2.3294518,-1.320935,might
-4.1938357,3.6761456,classic
15.216994,-10.891616,wine
-8.862739,0.7482139,men
-10.056627,-10.662271,fire
-3.7137845,-4.771928,meet
-15.123817,-15.432438,mission
15.955762,-12.54189,coffee
-9.072527,-4.6458426,attend
7.6546993,-0.68901646,view
16.843246,6.3015437,dj
-12.719681,15.868203,sun
6.133633,4.936962,nostalgic
3.8942027,1.2905505,peaceful
-0.9155381,-14.962717,christmas
-7.4848933,4.222569,evoke
16.293869,4.4610367,drop
-7.9384527,-1.1527357,fill
14.3578615,-15.010681,la
18.894302,5.2813864,rave
-4.6951737,2.008509,summer
-8.218336,5.1614704,town
5.184232,-6.7353787,girl
-4.8542075,-9.597925,way
-1.4877758,-9.064842,era
15.971058,13.509704,pac
