genre1,genre2,mean1,mean2,diff,t,df,p,d,n1,n2,p_bonf,sig,sig_bonf
Ele,Met,0.1426044655029045,0.16922522307906743,-0.026620757576162918,-4.733460838169,141.55159074006326,5.295418620709924e-06,-0.7889101396948334,72,72,3.1772511724259545e-05,***,***
80s,Met,0.14992192389881775,0.16922522307906743,-0.019303299180249672,-3.8118675790029286,130.07414774381132,0.00021193817386033764,-0.6353112631671549,72,72,0.0012716290431620259,***,**
Ele,Jaz,0.1426044655029045,0.16261379437132437,-0.020009328868419857,-2.8901395148217652,124.306770958059,0.004545442506733943,-0.48168991913696085,72,72,0.02727265504040366,**,*
80s,Jaz,0.14992192389881775,0.16261379437132437,-0.012691870472506611,-1.9596239929001547,106.83002657151036,0.05264494968323952,-0.32660399881669244,72,72,0.3158696980994371,n.s.,n.s.
80s,Ele,0.14992192389881775,0.1426044655029045,0.0073174583959132455,1.4979224680256096,133.59756610663948,0.13651244639763815,0.24965374467093493,72,72,0.8190746783858289,n.s.,n.s.
Jaz,Met,0.16261379437132437,0.16922522307906743,-0.006611428707743061,-0.9376980723724287,128.21048297944066,0.3501626538035576,-0.15628301206207146,72,72,1.0,n.s.,n.s.
