TSNE1,TSNE2,term
1.1490147,-7.576709,together
-3.4196444,-9.411696,warm
-1.2994635,-8.120564,cocktail
10.006619,-12.3863945,road
15.764221,14.910694,middle
-5.9087973,-3.2392447,side
0.881973,-2.7992196,super
-24.650427,-0.879209,sitcom
17.252308,2.7620597,flash
-13.425758,-1.6938988,atmosphere
12.568979,2.2785606,intense
5.196306,-15.27898,shop
-7.6623807,-2.520382,away
1.5016346,6.9053583,performance
16.529888,-1.7114282,envision
-7.10322,10.856191,fly
15.546036,-6.84098,speed
3.5696373,-19.464983,noir
8.48749,0.74577636,large
13.887227,11.445649,immediately
-9.607021,10.791589,water
1.2852975,-5.8055835,find
6.143592,2.5559578,many
0.6547637,-5.75513,probably
-4.4339023,-2.186467,another
17.121988,11.880942,nintendo
0.55671865,-0.23478135,mood
5.1914206,2.947665,mostly
-3.7174695,11.032865,even
3.5476134,3.9443402,solo
-3.3544838,6.112616,full
-5.359658,-2.655502,stand
9.293619,-11.956298,lead
-10.052582,4.7473707,colour
-13.385279,-0.9343372,outside
6.899943,9.725873,setting
-18.644217,9.535893,enter
-10.05923,1.3479058,home
-4.3353953,-4.943856,next
0.23253125,5.5111847,front
17.202469,2.818141,jump
-17.893402,-8.1209,kick
-7.4012003,-6.0771422,saw
-12.370465,1.2808695,slowly
2.322815,-0.7386395,past
-1.471171,-4.4725213,drum
12.347357,-8.722258,science
12.347337,-8.722211,fiction
-5.2763395,9.151511,specific
-0.6869964,-15.123268,red
17.374962,1.6446757,hype
-9.373949,6.91201,chill
15.619354,-6.8217387,racing
-2.8715332,-4.81323,house
6.564067,4.6528945,put
-8.897293,-1.8652434,partner
8.995648,7.1744018,busy
1.4993694,6.873771,audience
3.0154827,-16.79652,drinking
-9.038068,-3.9006965,perhaps
8.75336,3.4094443,others
-12.291766,4.0504417,seat
-4.1306043,-2.2609117,star
12.660398,-0.664123,bad
1.2781589,-17.358215,glass
-11.882815,-2.6845374,hand
11.385143,-1.0933996,protagonist
4.363759,-18.236254,cafe
-0.9635934,2.061091,face
-1.6848499,10.036323,phone
-8.257147,-4.15677,age
17.04956,-2.567637,shoot
4.999367,17.689035,mosh
-1.7849017,8.945825,either
-4.6424394,2.090525,need
-14.283645,2.5971727,though
6.8794713,-2.784554,experience
8.711344,-3.7736056,bright
-11.531935,-3.4430895,meet
0.5118478,-3.5772314,might
-5.473765,-5.496126,singer
1.0979989,-16.717665,wine
5.0946493,-1.981069,classic
0.59423125,13.991186,men
2.3120055,-18.498302,coffee
0.91207194,9.750837,lose
-8.441343,4.592837,view
3.8309805,9.677781,energetic
17.220427,8.048461,mission
-10.658074,6.3466716,sun
-6.179632,9.964741,nostalgic
-7.6932907,5.852278,peaceful
0.47493997,5.651036,attend
18.730465,1.1254013,dj
-18.734434,6.429569,christmas
9.680349,5.117022,fire
8.30617,9.137034,evoke
-16.07709,10.944319,summer
10.748935,-4.7316856,drop
5.512103,-18.257696,la
20.181149,2.1765053,rave
-0.2633794,4.0702105,fill
8.780752,9.899319,town
10.513283,0.3533753,way
-4.799663,-4.493859,girl
9.307047,-1.1464161,era
11.501776,4.2752857,disco
-8.245509,2.3363519,relaxed
-1.5513921,3.856908,still
21.920483,-3.5734346,pac
-6.3530073,7.1256843,beautiful
-3.553332,-3.9760883,context
-3.3901896,4.1622148,eye
17.192663,7.894827,final
-16.319323,10.517265,inside
2.847832,3.6926773,call
13.558005,4.675683,sure
3.4218102,6.4140525,instrumental
4.168242,-17.7266,dim
4.7159705,17.635872,pit
5.8798537,7.7577586,pace
-5.5759463,9.805658,title
-2.1764657,-0.57913035,musician
8.071697,15.842846,hat
7.0886726,-12.94299,reason
1.5467392,12.733438,real
15.737469,10.171524,likely
-11.144876,-1.9927502,sunset
2.0702817,1.6426778,classical
-3.047066,17.787487,hotel
-17.53744,8.657144,artist
5.552532,-1.6994481,entertain
2.0042937,18.140646,suspense
-6.9524164,5.628535,hang
19.061876,1.2657517,strobe
0.12843467,9.177156,montage
7.721762,8.504977,since
2.502152,-3.4619503,base
5.6033177,1.9078635,possibly
-9.097629,-0.30136436,hold
6.731128,7.0012097,animated
9.945636,-4.7603664,turn
-4.3195972,0.2177833,smooth
0.79137284,2.2016559,never
-1.0148481,2.0450566,building
-7.687627,-4.454697,pop
4.0205107,15.190337,bang
7.37763,3.1033778,trip
-4.1420584,5.1114244,relaxing
-2.9657836,-16.937443,dimly
-3.3546827,12.0076475,romance
-1.8295553,-0.2944492,eat
4.638581,0.6520052,actor
0.16679831,0.20999058,lady
-11.54783,8.0171385,sister
-7.9283333,1.8472716,sky
-13.104806,15.447296,motion
8.901898,4.5547,effect
15.141928,-4.6691995,cyberpunk
-12.540931,11.489405,church
-12.297386,-0.0894473,cry
-18.27721,8.044082,musical
-8.046282,7.1392207,company
-3.5242896,-2.5805397,relate
-11.588638,-4.077493,classy
-7.92449,3.9498432,nature
1.2689745,16.39342,match
10.933625,6.883519,wedding
1.4543831,12.422173,id
15.62542,-4.417515,techno
-12.042853,11.177566,fantasy
-4.150078,0.23354407,cozy
-4.183702,2.8255537,favorite
-16.44746,-6.0221066,film
7.9319444,-1.4917881,modern
0.3041116,11.111962,popular
-10.072922,-0.9804805,everything
3.1059444,7.3098125,american
11.039113,0.46353707,enemy
-1.4211824,3.7264957,nothing
3.2270641,-1.4893539,pick
10.978643,2.0018482,dragon
11.397956,1.8944157,fighting
-3.131353,2.523897,somewhere
4.218107,-17.12185,corner
-2.9113133,18.758875,tom
-4.1987906,10.152699,weekend
0.6607072,4.1403327,else
-17.89465,-6.6243224,minecraft
-2.5907896,1.2461947,top
16.140215,10.213011,complete
-10.905577,5.665661,float
-5.82877,4.8514524,hit
2.830092,-9.527323,appear
3.864047,5.850236,concert
2.2826598,-2.1647763,towards
6.699244,-2.665863,important
5.481763,0.3079037,etc
2.4139223,3.419772,genre
-0.4994011,8.896869,instantly
2.0164542,0.7032047,holiday
-2.9932292,7.5048532,smile
-11.40672,0.053252716,emotion
3.3351176,10.352188,electric
-8.773321,3.8474312,deep
10.040944,1.426749,involve
4.728928,8.518175,computer
-0.93487144,-3.2978723,tone
6.0620894,8.668691,may
-2.8345509,5.62808,theres
-0.09920406,11.426301,environment
3.8066523,11.813733,expect
9.9583,8.029796,store
-7.8019342,1.8183914,focus
5.2019615,14.187562,headbanging
-7.1465793,2.129768,change
-6.7931566,-0.18280293,girlfriend
4.1113977,15.9269285,punk
2.2019064,-9.738244,lighting
5.543608,0.9242832,last
5.3694057,4.506414,always
7.1496863,-0.16073665,usually
10.905727,9.422549,celebration
6.45788,-13.552182,ice
5.530529,-1.2620713,lively
13.698961,4.6826677,boss
-6.355617,-0.36206472,break
8.404891,1.9643452,paced
3.972104,6.50072,sequence
-4.8086247,7.222709,near
7.3205485,15.344715,venue
3.0726428,-0.8693113,somewhat
-7.7680044,4.5272856,serious
-7.577956,-0.28596207,dad
-3.0460715,2.9131517,self
4.059738,9.401262,gig
-17.28824,-5.9546638,forest
8.978058,1.067994,arena
-6.014253,3.2738616,note
7.399544,6.5203366,reach
-5.182626,-4.761893,cold
-3.6346712,4.1952267,noise
-16.987236,-5.492835,rainy
0.5660372,1.4887605,everyones
3.504341,-9.461209,huge
8.6229725,-3.516431,neon
0.1396552,3.8737001,year
-2.7312756,12.411797,tension
-10.213974,6.1035743,peace
-3.280849,0.23781893,sip
3.6804276,4.8712053,bride
-12.537075,4.0078278,mysterious
4.720057,13.38566,scream
-6.9806128,3.8290687,prompt
1.8581945,5.0266724,fan
0.7893884,-1.5887659,however
6.158247,9.368269,zombie
-0.86027884,8.55061,attention
-3.2608893,0.81957054,smoking
9.008778,8.602982,friendly
6.173732,14.452129,flame
0.9358284,14.455725,war
14.423027,11.7338,entertainment
4.4325185,7.448843,pack
20.109083,2.1589525,laser
-17.371134,9.029488,michael
-0.5193528,-1.7034802,tap
-9.916003,6.5060773,soothe
4.1962547,2.373929,catch
-5.5066056,7.813568,vocal
-0.78884774,-14.521232,pianist
8.073635,2.365576,favourite
6.8433094,-1.2452565,rhythm
3.9375358,11.763952,teenager
5.9783134,5.227006,exactly
5.0470624,5.5284758,sevenfold
2.551966,5.1038194,youtube
12.414674,-0.6973275,villain
-0.4015762,-1.1804593,jazzy
-5.8779783,-1.0092983,intimate
9.027681,-2.130864,follow
