genre,context_driven_mean,baseline_mean,framing_gain,t,df,p,d,n_ctx,n_base,p_bonf,sig,sig_bonf
Met,0.16671118737664417,0.11266755902982181,0.05404362834682236,8.148713180794003,25.316198817900297,1.5263069030879706e-08,1.910327429023644,24,288,6.105227612351882e-08,***,***
Jaz,0.15138185717724997,0.11232536338636663,0.03905649379088334,3.8266285739749852,24.40823223410061,0.0007973272458903224,0.9605941275220498,24,288,0.0031893089835612898,***,**
80s,0.14666074892680178,0.1163364227167018,0.030324326210099978,5.477189418617633,29.49909899641672,6.385501074790412e-06,1.0439424165304176,24,288,2.5542004299161647e-05,***,***
Ele,0.13213359343898615,0.11801246325769799,0.01412113018128816,2.07816994662244,25.61904619469021,0.047856827331620666,0.47746243872551125,24,288,0.19142730932648266,*,n.s.
