context,clip_mean,clip_sd,clip_cv,context_mean,context_sd,context_cv,cv_difference,levene_stat,levene_p,sig,n_clip,n_context
bar ,0.41637005450045095,0.0506030265713986,0.12153377992591394,0.3555640328323768,0.03580482181688546,0.10069866046818322,0.020835119457730714,4.3872527786573405,0.0377271009837661,*,48,120
concert ,0.40921057398683236,0.05206203566344976,0.12722553856862218,0.3471934860440224,0.04605849992491889,0.13265945870620077,-0.005433920137578596,0.9271181482920704,0.3370134110082561,n.s.,48,120
movie,0.41215268130333893,0.049500094439757746,0.12010135244838145,0.33433440500087996,0.03854416837440838,0.11528627565059281,0.004815076797788642,7.115795878610678,0.008397757417123645,**,48,120
video game,0.41078331289697995,0.05170225025615849,0.12586258650950813,0.33245084759785715,0.03869606165153929,0.11639633928185152,0.009466247227656613,5.404776521945992,0.021292381553437798,*,48,120
