comparison,group1,group2,mean1,std1,n1,mean2,std2,n2,difference,t,p,sig,d
Within vs Between Context,Within-Context,Between-Context,0.34238569286878406,0.04090689616919977,480,0.334008939247086,0.045108216206231753,1536,0.008376753621698041,3.8158847583428632,0.0001452722793921089,***,0.19441578302543377
bar  vs Between,Within-bar ,Between-Context,0.3555640328323768,0.03565532295176173,120,0.334008939247086,0.045108216206231753,1536,0.021555093585290785,6.22014407511717,4.692531990710755e-09,***,0.5292034439511205
concert  vs Between,Within-concert ,Between-Context,0.3471934860440224,0.04586618802058119,120,0.334008939247086,0.045108216206231753,1536,0.01318454679693637,3.0244414357771836,0.002973323769569101,**,0.2891785338898083
movie vs Between,Within-movie,Between-Context,0.33433440500087996,0.03838323168664655,120,0.334008939247086,0.045108216206231753,1536,0.00032546575379394094,0.08791232135075601,0.9300670631986003,n.s.,0.0077560801527883
video game vs Between,Within-video game,Between-Context,0.33245084759785715,0.03853449075108209,120,0.334008939247086,0.045108216206231753,1536,-0.0015580916492288766,-0.4193667313050137,0.6755666490502739,n.s.,-0.037068737049421166
