genre,clip_mean,clip_sd,context_mean,context_sd,diff,dominant,t,df,p,d,n_clip,n_context,p_bonf,sig,sig_bonf
80s,0.16954973053708736,0.026081389321164078,0.14666074892680178,0.025477937385823036,0.022888981610285575,CLIP,3.075460176051257,45.97481558273519,0.003532617150137085,0.8878088802625835,24,24,0.01413046860054834,**,*
Ele,0.2008320172844147,0.040493344429622755,0.13213359343898615,0.03240099961154517,0.06869842384542854,CLIP,6.489537341802105,43.8887716103303,6.49670206520625e-08,1.873368065602787,24,24,2.5986808260825e-07,***,***
Jaz,0.2155381627866653,0.05193904651317877,0.15138185717724997,0.04926318733542357,0.06415630560941532,CLIP,4.390541740306986,45.871900919831646,6.595547792986878e-05,1.2674402278272632,24,24,0.0002638219117194751,***,***
Met,0.16818108051512146,0.035377297437431954,0.16671118737664417,0.031719207105580696,0.001469893138477285,CLIP,0.1515521115688391,45.46266397722736,0.880210730832024,0.04374932620526273,24,24,1.0,n.s.,n.s.
